pid|size|color|brand|rrp|mainCategory|category|subCategory|stock|releaseDate
10116|L|gruen|Nike|101.53|9|10|35|1|2017-10-01
10116|M|gruen|Nike|101.53|9|10|35|2|2017-10-01
10116|XL|gruen|Nike|101.53|9|10|35|1|2017-10-01
10119|39 1/3|schwarz|adidas|114.23|1|2|6|1|2017-10-01
10119|40|schwarz|adidas|114.23|1|2|6|1|2017-10-01
10119|40 2/3|schwarz|adidas|114.23|1|2|6|1|2017-10-01
10119|41 1/3|schwarz|adidas|114.23|1|2|6|3|2017-10-01
10119|44|schwarz|adidas|114.23|1|2|6|1|2017-10-01
10119|44 2/3|schwarz|adidas|114.23|1|2|6|2|2017-10-01
10119|45 1/3|schwarz|adidas|114.23|1|2|6|3|2017-10-01
10119|46|schwarz|adidas|114.23|1|2|6|1|2017-10-01
10119|46 2/3|schwarz|adidas|114.23|1|2|6|2|2017-10-01
10125|L|blau|Nike|25.33|1|7|21|1|2017-10-01
10125|M|blau|Nike|25.33|1|7|21|3|2017-10-01
10125|S|blau|Nike|25.33|1|7|21|5|2017-10-01
10125|XL|blau|Nike|25.33|1|7|21|1|2017-10-01
10126|40,5|weiss|Nike|177.73|9|18|32|1|2017-10-01
10126|42|weiss|Nike|177.73|9|18|32|1|2017-10-01
10126|44|weiss|Nike|177.73|9|18|32|1|2017-10-01
10126|44,5|weiss|Nike|177.73|9|18|32|1|2017-10-01
10131|152|blau|adidas|63.43|1|7|31|1|2017-10-01
10131|164|blau|adidas|63.43|1|7|31|1|2017-10-01
10133|44|blau|Nike|279.33|1|2|3|2|2017-10-01
10133|44,5|blau|Nike|279.33|1|2|3|1|2017-10-01
10133|45,5|blau|Nike|279.33|1|2|3|1|2017-10-01
10134|33|blau|Nike|69.78|1|37|39|1|2017-11-15
10135|L ( 40/42 )|schwarz|Nike|95.18|9|10|35|1|2017-10-01
10137|37 1/3|schwarz|adidas|76.13|1|37|6|2|2017-10-01
10137|38|schwarz|adidas|76.13|1|37|6|1|2017-10-01
10141|XL ( 44/46 )|blau|Nike|50.73|1|7|14|1|2017-11-21
10144|43|weiss|Jordan|139.63|9|18|32|1|2017-10-01
10144|44|weiss|Jordan|139.63|9|18|32|1|2017-10-01
10146|M|schwarz|Nike|120.58|9|10|22|1|2017-10-10
10153|L|gelb|Uhlsport|44.38|15|33||1|2017-10-01
10154|S|rot|adidas|29.14|1|7|25|1|2017-10-01
10157|L|schwarz|Nike|57.08|1|7|21|2|2017-10-01
10157|M|schwarz|Nike|57.08|1|7|21|1|2017-10-01
10158|L|schwarz|adidas|76.13|1|7|20|4|2017-10-01
10158|M|schwarz|adidas|76.13|1|7|20|5|2017-10-01
10158|XL|schwarz|adidas|76.13|1|7|20|1|2017-10-01
10160|M|schwarz|Jako|69.78|1|7|22|1|2017-10-01
10164|L ( 152-158 )|blau|Nike|20.25|1|7|8|1|2017-10-01
10164|M ( 140-152 )|blau|Nike|20.25|1|7|8|2|2017-10-01
10164|S ( 128-140 )|blau|Nike|20.25|1|7|8|4|2017-10-01
10164|XL ( 158-170 )|blau|Nike|20.25|1|7|8|2|2017-10-01
10164|XS ( 116-128 )|blau|Nike|20.25|1|7|8|1|2017-10-01
10165|36|schwarz|adidas|165.03|9|10|22|1|2017-10-01
10167|M|weiss|Jako|25.33|15|16||1|2017-10-01
10167|S|weiss|Jako|25.33|15|16||1|2017-10-01
10168|152|lila|adidas|25.33|1|7|21|1|2017-10-01
10169|2 ( 37-39 )|weiss|adidas|15.17|1|7|11|1|2017-10-01
10169|3 ( 40-42 )|weiss|adidas|15.17|1|7|11|3|2017-10-01
10169|4 ( 43-45 )|weiss|adidas|15.17|1|7|11|14|2017-10-01
10169|5 ( 46-48 )|weiss|adidas|15.17|1|7|11|12|2017-10-01
10170|L ( 42-46 )|weiss|Nike|12.63|1|7|13|9|2017-10-01
10170|M ( 38-42 )|weiss|Nike|12.63|1|7|13|1|2017-10-01
10170|S ( 34-38 )|weiss|Nike|12.63|1|7|13|1|2017-10-01
10170|XL (46-50 )|weiss|Nike|12.63|1|7|13|3|2017-10-01
10170|XS ( 30-34 )|weiss|Nike|12.63|1|7|13|1|2017-10-01
10171|36 2/3|rot|adidas|50.73|1|37|6|1|2017-10-01
10174|L|rot|Hummel|50.73|1|7|21|2|2017-10-01
10174|M|rot|Hummel|50.73|1|7|21|1|2017-10-01
10174|XL|rot|Hummel|50.73|1|7|21|1|2017-10-01
10176|38,5|schwarz|Reebok|114.23|9|36|32|1|2017-10-01
10177|M|rot|PUMA|25.33|1|7|23|1|2017-10-01
10177|XL|rot|PUMA|25.33|1|7|23|1|2017-10-01
10183|L ( 42-46 )|schwarz|Jordan|20.25|9|10|11|1|2017-10-01
10183|M ( 38-42 )|schwarz|Jordan|20.25|9|10|11|3|2017-10-01
10186|36 2/3|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10186|38|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10186|38 2/3|schwarz|adidas|76.13|1|37|3|1|2017-10-01
10194|38/40 ( M / L )|rot|Jako|38.03|1|7|25|1|2017-10-01
10195|L|orange|Nike|63.43|1|7|28|1|2017-10-01
10195|M|orange|Nike|63.43|1|7|28|3|2017-10-01
10195|XL|orange|Nike|63.43|1|7|28|1|2017-10-01
10197|L ( 42-46 )|blau|Nike|12.63|1|7|11|8|2017-10-01
10197|M ( 38-42 )|blau|Nike|12.63|1|7|11|12|2017-10-01
10197|S ( 34-38 )|blau|Nike|12.63|1|7|11|6|2017-10-01
10197|XL (46-50 )|blau|Nike|12.63|1|7|11|2|2017-10-01
10199|41 1/3|weiss|adidas|114.23|9|18|32|1|2017-11-23
10199|42|weiss|adidas|114.23|9|18|32|2|2017-11-23
10199|42 2/3|weiss|adidas|114.23|9|18|32|1|2017-11-23
10203|L ( 40/42 )|grau|Nike|57.08|9|10|35|2|2017-10-01
10203|M ( 38/40 )|grau|Nike|57.08|9|10|35|1|2017-10-01
10205|164|schwarz|adidas|44.38|1|7|22|1|2017-10-01
10207|L|schwarz|Nike|31.68|9|10|25|2|2017-10-01
10207|M|schwarz|Nike|31.68|9|10|25|1|2017-10-01
10207|S|schwarz|Nike|31.68|9|10|25|1|2017-10-01
10208|33|weiss|Nike|69.78|1|37|6|1|2017-10-01
10208|33,5|weiss|Nike|69.78|1|37|6|1|2017-10-01
10208|34|weiss|Nike|69.78|1|37|6|1|2017-10-01
10208|36|weiss|Nike|69.78|1|37|6|1|2017-10-01
10208|36,5|weiss|Nike|69.78|1|37|6|1|2017-10-01
10208|37,5|weiss|Nike|69.78|1|37|6|1|2017-10-01
10210|40|gelb|Nike|101.53|1|2|5|1|2017-10-01
10210|44,5|gelb|Nike|101.53|1|2|5|1|2017-10-01
10213|43|blau|Nike|292.03|1|2|4|2|2017-12-06
10213|44,5|blau|Nike|292.03|1|2|4|3|2017-12-06
10213|45|blau|Nike|292.03|1|2|4|1|2017-12-06
10214|40|schwarz|adidas|88.83|1|2|5|1|2017-10-01
10214|44|schwarz|adidas|88.83|1|2|5|2|2017-10-01
10214|44 2/3|schwarz|adidas|88.83|1|2|5|1|2017-10-01
10219|XL|schwarz|PUMA|50.73|1|7|22|1|2017-10-01
10222|2XL|schwarz|Nike|44.38|1|7|23|2|2017-11-22
10222|L|schwarz|Nike|44.38|1|7|23|2|2017-11-22
10222|M|schwarz|Nike|44.38|1|7|23|3|2017-11-22
10222|S|schwarz|Nike|44.38|1|7|23|1|2017-11-22
10222|XL|schwarz|Nike|44.38|1|7|23|4|2017-11-22
10224|42 2/3|gruen|adidas|165.03|1|2|3|1|2017-10-01
10227|44 2/3|blau|adidas|114.23|1|2|39|1|2017-10-01
10228|L|schwarz|Under Armour|31.68|15|16||7|2017-10-01
10228|M|schwarz|Under Armour|31.68|15|16||3|2017-10-01
10228|XL|schwarz|Under Armour|31.68|15|16||1|2017-10-01
10230|2 ( 35-38 )|weiss|PUMA|10.09|1|7|13|1|2017-10-01
10230|3 ( 39-42 )|weiss|PUMA|10.09|1|7|13|1|2017-10-01
10230|4 ( 43-46 )|weiss|PUMA|10.09|1|7|13|5|2017-10-01
10230|5 ( 47-49 )|weiss|PUMA|10.09|1|7|13|1|2017-10-01
10232|42,5|schwarz|Nike|177.73|1|2|39|1|2017-10-01
10233|L|grau|adidas|82.48|9|10|14|1|2017-10-01
10234|140|schwarz|adidas|44.38|1|7|14|1|2017-10-27
10234|152|schwarz|adidas|44.38|1|7|14|2|2017-10-27
10234|164|schwarz|adidas|44.38|1|7|14|1|2017-10-27
10244|164/176|schwarz|Jako|38.03|15|33||1|2017-11-22
10249|L|blau|adidas|38.03|1|7|8|2|2017-10-01
10254|M|blau|Jako|38.03|1|7|16|3|2017-10-01
10258|L|schwarz|Uhlsport|50.73|1|7|16|1|2017-10-01
10258|M|schwarz|Uhlsport|50.73|1|7|16|1|2017-10-01
10261|1 ( Junior)|rot|Jako|8.82|1|7|12|9|2017-10-01
10262|35,5|grau|Nike|126.93|9|37|32|1|2017-10-01
10263|L|schwarz|adidas|50.73|1|7|16|1|2017-10-01
10263|M|schwarz|adidas|50.73|1|7|16|7|2017-10-01
10263|S|schwarz|adidas|50.73|1|7|16|1|2017-10-01
10263|XL|schwarz|adidas|50.73|1|7|16|1|2017-10-01
10275|40,5|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10275|42|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10275|43|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10275|44|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10275|44,5|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10275|45,5|schwarz|Nike|114.23|1|2|6|1|2017-10-01
10276|L ( 42-46 )|gruen|Nike|8.82|1|7|12|2|2017-10-01
10276|S ( 34-38 )|gruen|Nike|8.82|1|7|12|2|2017-10-01
10277|45,5|weiss|Jordan|158.68|9|18|32|1|2017-10-01
10279|3 (35-38 )|schwarz|Jako|12.63|1|7|13|1|2017-10-01
10279|4 ( 39-42 )|schwarz|Jako|12.63|1|7|13|2|2017-10-01
10279|5 ( 43-46 )|schwarz|Jako|12.63|1|7|13|1|2017-10-01
10282|40 2/3|blau|adidas|317.43|1|2|3|1|2017-10-01
10282|42|blau|adidas|317.43|1|2|3|1|2017-10-01
10282|43 1/3|blau|adidas|317.43|1|2|3|2|2017-10-01
10282|44|blau|adidas|317.43|1|2|3|1|2017-10-01
10283|XL ( 158-170 )|blau|Nike|31.68|1|7|22|1|2017-11-22
10285|XL ( 158-170 )|blau|Nike|27.87|1|7|21|1|2017-10-01
10289|42 2/3|blau|adidas|317.43|1|2|4|1|2017-10-01
10289|43 1/3|blau|adidas|317.43|1|2|4|1|2017-10-01
10289|44|blau|adidas|317.43|1|2|4|2|2017-10-01
10289|45 1/3|blau|adidas|317.43|1|2|4|1|2017-10-01
10289|46|blau|adidas|317.43|1|2|4|1|2017-10-01
10290|L|schwarz|adidas|44.38|15|16||2|2017-11-09
10290|M|schwarz|adidas|44.38|15|16||7|2017-11-09
10290|S|schwarz|adidas|44.38|15|16||1|2017-11-09
10290|XL|schwarz|adidas|44.38|15|16||1|2017-11-09
10291|152|gruen|Jako|41.84|1|7|20|1|2017-10-01
10297|L|gelb|Erima|31.68|15|16||1|2017-10-01
10297|M|gelb|Erima|31.68|15|16||3|2017-10-01
10305|L|schwarz|Erima|63.43|1|7|16|1|2017-10-01
10306|L ( 42-46 )|blau|Nike|12.63|1|7|13|35|2017-10-01
10306|M ( 38-42 )|blau|Nike|12.63|1|7|13|17|2017-10-01
10306|S ( 34-38 )|blau|Nike|12.63|1|7|13|4|2017-10-01
10306|XL (46-50 )|blau|Nike|12.63|1|7|13|1|2017-10-01
10309|2XL|gruen|Nike|44.38|1|7|21|1|2017-10-01
10310|128|weiss|adidas|63.43|1|7|28|1|2017-10-01
10312|39 1/3|schwarz|adidas|317.43|1|2|3|1|2017-10-01
10312|40|schwarz|adidas|317.43|1|2|3|8|2017-10-01
10312|40 2/3|schwarz|adidas|317.43|1|2|3|2|2017-10-01
10312|41 1/3|schwarz|adidas|317.43|1|2|3|7|2017-10-01
10312|42|schwarz|adidas|317.43|1|2|3|4|2017-10-01
10312|42 2/3|schwarz|adidas|317.43|1|2|3|5|2017-10-01
10312|43 1/3|schwarz|adidas|317.43|1|2|3|44|2017-10-01
10312|44|schwarz|adidas|317.43|1|2|3|17|2017-10-01
10312|44 2/3|schwarz|adidas|317.43|1|2|3|23|2017-10-01
10312|45 1/3|schwarz|adidas|317.43|1|2|3|24|2017-10-01
10312|46|schwarz|adidas|317.43|1|2|3|3|2017-10-01
10312|46 2/3|schwarz|adidas|317.43|1|2|3|4|2017-10-01
10319|38|schwarz|Nike|177.73|9|36|32|1|2017-10-01
10319|39|schwarz|Nike|177.73|9|36|32|1|2017-10-01
10319|40|schwarz|Nike|177.73|9|36|32|1|2017-10-01
10320|39/42|weiss|PUMA|10.09|9|10|11|2|2017-10-01
10320|43/46|weiss|PUMA|10.09|9|10|11|1|2017-10-01
10322|47|blau|Reebok|88.83|9|18|32|1|2017-10-01
10325|128|schwarz|adidas|38.03|1|7|16|1|2017-11-02
10325|140|schwarz|adidas|38.03|1|7|16|1|2017-11-02
10325|152|schwarz|adidas|38.03|1|7|16|1|2017-11-02
10325|164|schwarz|adidas|38.03|1|7|16|5|2017-11-02
10330|164|blau|adidas|63.43|1|7|28|2|2017-10-01
10331|L ( 152-158 )|rot|Nike|38.03|1|7|21|1|2017-10-01
10331|XL ( 158-170 )|rot|Nike|38.03|1|7|21|3|2017-10-01
10332|39|orange|Nike|368.23|1|2|3|1|2017-10-01
10333|L ( 42-46 )|rot|Nike|12.63|1|7|13|7|2017-10-01
10333|M ( 38-42 )|rot|Nike|12.63|1|7|13|14|2017-10-01
10333|S ( 34-38 )|rot|Nike|12.63|1|7|13|8|2017-10-01
10333|XL (46-50 )|rot|Nike|12.63|1|7|13|6|2017-10-01
10333|XS ( 30-34 )|rot|Nike|12.63|1|7|13|1|2017-10-01
10337|2XL|schwarz|adidas|50.73|1|7|23|1|2017-10-23
10337|L|schwarz|adidas|50.73|1|7|23|1|2017-10-23
10337|M|schwarz|adidas|50.73|1|7|23|1|2017-10-23
10337|XL|schwarz|adidas|50.73|1|7|23|1|2017-10-23
10339|40|weiss|adidas|380.93|1|2|3|1|2017-10-01
10339|40 2/3|weiss|adidas|380.93|1|2|3|1|2017-10-01
10339|41 1/3|weiss|adidas|380.93|1|2|3|3|2017-10-01
10339|42|weiss|adidas|380.93|1|2|3|2|2017-10-01
10339|44|weiss|adidas|380.93|1|2|3|1|2017-10-01
10339|44 2/3|weiss|adidas|380.93|1|2|3|1|2017-10-01
10339|45 1/3|weiss|adidas|380.93|1|2|3|1|2017-10-01
10340|L|schwarz|Nike|63.43|1|7|40|1|2017-10-01
10343|L|schwarz|Nike|38.03|9|10|42|1|2017-10-01
10343|M|schwarz|Nike|38.03|9|10|42|1|2017-10-01
10343|S|schwarz|Nike|38.03|9|10|42|1|2017-10-01
10344|42|gelb|PUMA|152.33|1|2|39|1|2017-10-01
10345|42 2/3|gelb|adidas|279.33|1|2|39|1|2017-10-01
10345|45 1/3|gelb|adidas|279.33|1|2|39|1|2017-10-01
10346|L|weiss|Jordan|44.38|15|30||1|2017-10-01
10351|41|schwarz|Reebok|82.48|9|36|32|1|2017-10-01
10353|42 2/3|schwarz|adidas|279.33|1|2|4|1|2017-10-01
10353|44|schwarz|adidas|279.33|1|2|4|3|2017-10-01
10353|44 2/3|schwarz|adidas|279.33|1|2|4|3|2017-10-01
10353|45 1/3|schwarz|adidas|279.33|1|2|4|1|2017-10-01
10353|46|schwarz|adidas|279.33|1|2|4|1|2017-10-01
10353|47 1/3|schwarz|adidas|279.33|1|2|4|1|2017-10-01
10361|2XL|schwarz|Nike|57.08|15|33||1|2017-10-01
10361|L|schwarz|Nike|57.08|15|33||1|2017-10-01
10361|M|schwarz|Nike|57.08|15|33||6|2017-10-01
10361|S|schwarz|Nike|57.08|15|33||5|2017-10-01
10361|XL|schwarz|Nike|57.08|15|33||1|2017-10-01
10362|S|pink|PUMA|44.38|1|7|28|2|2017-10-01
10363|XL (46-48,5)|lila|Nike|15.17|1|7|13|1|2017-10-01
10365|2XL|blau|adidas|31.68|1|7|21|1|2017-10-01
10365|L|blau|adidas|31.68|1|7|21|1|2017-10-01
10365|M|blau|adidas|31.68|1|7|21|1|2017-10-01
10365|S|blau|adidas|31.68|1|7|21|2|2017-10-01
10365|XS|blau|adidas|31.68|1|7|21|3|2017-10-01
10368|5 ( 43-46 )|schwarz|Jako|6.28|1|7|11|1|2017-10-01
10369|40|rosa|New Balance|139.63|9|36|32|1|2017-10-18
10378|2XL|rot|adidas|22.79|1|7|21|5|2017-10-01
10378|L|rot|adidas|22.79|1|7|21|31|2017-10-01
10378|M|rot|adidas|22.79|1|7|21|12|2017-10-01
10378|S|rot|adidas|22.79|1|7|21|2|2017-10-01
10378|XL|rot|adidas|22.79|1|7|21|11|2017-10-01
10380|42,5|gelb|Nike|368.23|1|2|3|1|2017-10-01
10382|L|grau|Nike|44.38|15|33||7|2017-12-05
10382|M|grau|Nike|44.38|15|33||5|2017-12-05
10383|2 ( Senior )|blau|Jako|6.28|1|7|12|2|2017-10-01
10391|140|blau|adidas|114.23|1|7|31|3|2017-10-01
10393|42,5|schwarz|PUMA|203.13|1|2|5|1|2017-10-01
10396|2XL|blau|adidas|22.79|1|7|8|6|2017-10-01
10396|L|blau|adidas|22.79|1|7|8|52|2017-10-01
10396|M|blau|adidas|22.79|1|7|8|24|2017-10-01
10396|S|blau|adidas|22.79|1|7|8|1|2017-10-01
10396|XL|blau|adidas|22.79|1|7|8|2|2017-10-01
10400||schwarz|adidas|12.63|1|2|27|1|2017-10-01
10402|2XL|weiss|adidas|22.79|1|7|8|2|2017-10-01
10402|L|weiss|adidas|22.79|1|7|8|49|2017-10-01
10402|M|weiss|adidas|22.79|1|7|8|8|2017-10-01
10402|S|weiss|adidas|22.79|1|7|8|20|2017-10-01
10402|XL|weiss|adidas|22.79|1|7|8|2|2017-10-01
10402|XS|weiss|adidas|22.79|1|7|8|2|2017-10-01
10405|116|rot|adidas|18.98|1|7|21|1|2017-10-01
10405|128|rot|adidas|18.98|1|7|21|1|2017-10-01
10405|140|rot|adidas|18.98|1|7|21|2|2017-10-01
10405|152|rot|adidas|18.98|1|7|21|6|2017-10-01
10405|164|rot|adidas|18.98|1|7|21|7|2017-10-01
10407|30|gold|adidas|76.13|1|37|3|1|2017-11-23
10407|32|gold|adidas|76.13|1|37|3|1|2017-11-23
10407|33|gold|adidas|76.13|1|37|3|1|2017-11-23
10407|35|gold|adidas|76.13|1|37|3|1|2017-11-23
10407|36 2/3|gold|adidas|76.13|1|37|3|2|2017-11-23
10407|37 1/3|gold|adidas|76.13|1|37|3|1|2017-11-23
10407|38 2/3|gold|adidas|76.13|1|37|3|1|2017-11-23
10408|34|schwarz|adidas|82.48|1|37|6|1|2017-11-16
10408|36|schwarz|adidas|82.48|1|37|6|1|2017-11-16
10408|37 1/3|schwarz|adidas|82.48|1|37|6|2|2017-11-16
10408|38|schwarz|adidas|82.48|1|37|6|3|2017-11-16
10408|38 2/3|schwarz|adidas|82.48|1|37|6|3|2017-11-16
10410|4 ( 39-42 )|weiss|Jako|8.82|1|7|11|2|2017-10-01
10410|5 ( 43-46 )|weiss|Jako|8.82|1|7|11|7|2017-10-01
10413|L|schwarz|adidas|44.38|1|7|8|2|2017-11-02
10413|M|schwarz|adidas|44.38|1|7|8|1|2017-11-02
10413|XL|schwarz|adidas|44.38|1|7|8|1|2017-11-02
10414|2XL|schwarz|adidas|76.13|1|7|22|2|2017-10-01
10414|3XL|schwarz|adidas|76.13|1|7|22|1|2017-10-01
10414|L|schwarz|adidas|76.13|1|7|22|15|2017-10-01
10414|M|schwarz|adidas|76.13|1|7|22|3|2017-10-01
10414|S|schwarz|adidas|76.13|1|7|22|1|2017-10-01
10414|XL|schwarz|adidas|76.13|1|7|22|14|2017-10-01
10414|XS|schwarz|adidas|76.13|1|7|22|1|2017-10-01
10415|2XL|schwarz|PUMA|50.73|1|7|16|3|2017-10-01
10415|L|schwarz|PUMA|50.73|1|7|16|3|2017-10-01
10415|M|schwarz|PUMA|50.73|1|7|16|4|2017-10-01
10415|XL|schwarz|PUMA|50.73|1|7|16|1|2017-10-01
10416|39 1/3|schwarz|adidas|279.33|1|2|3|4|2017-10-01
10416|40|schwarz|adidas|279.33|1|2|3|4|2017-10-01
10416|40 2/3|schwarz|adidas|279.33|1|2|3|6|2017-10-01
10416|41 1/3|schwarz|adidas|279.33|1|2|3|2|2017-10-01
10416|42|schwarz|adidas|279.33|1|2|3|21|2017-10-01
10416|42 2/3|schwarz|adidas|279.33|1|2|3|8|2017-10-01
10416|43 1/3|schwarz|adidas|279.33|1|2|3|16|2017-10-01
10416|44|schwarz|adidas|279.33|1|2|3|11|2017-10-01
10416|44 2/3|schwarz|adidas|279.33|1|2|3|17|2017-10-01
10416|45 1/3|schwarz|adidas|279.33|1|2|3|16|2017-10-01
10416|46|schwarz|adidas|279.33|1|2|3|23|2017-10-01
10416|46 2/3|schwarz|adidas|279.33|1|2|3|5|2017-10-01
10416|47 1/3|schwarz|adidas|279.33|1|2|3|6|2017-10-01
10416|48|schwarz|adidas|279.33|1|2|3|1|2017-10-01
10418|41 - 44|blau|Uhlsport|16.44|1|7|13|1|2017-10-01
10421|40,5|schwarz|Nike|95.18|1|2|3|2|2017-10-01
10421|41|schwarz|Nike|95.18|1|2|3|1|2017-10-01
10421|42|schwarz|Nike|95.18|1|2|3|1|2017-10-01
10421|42,5|schwarz|Nike|95.18|1|2|3|1|2017-10-01
10421|43|schwarz|Nike|95.18|1|2|3|1|2017-10-01
10421|44|schwarz|Nike|95.18|1|2|3|1|2017-10-01
