[1] "Prediction Error: 1.97176"
BestTune:
  alpha lambda     RMSE    Rsquared        MAE     RMSESD  RsquaredSD
44  0.2222222  9.2857143 0.2273980         NaN 0.04706984 0.04165567
45  0.2222222 10.0000000 0.2273980         NaN 0.04706984 0.04165567
46  0.3333333  0.0000000 0.2264673 0.009346080 0.04736427 0.04163390
47  0.3333333  0.7142857 0.2273980         NaN 0.04706984 0.04165567
48  0.3333333  1.4285714 0.2273980         NaN 0.04706984 0.04165567
49  0.3333333  2.1428571 0.2273980         NaN 0.04706984 0.04165567
50  0.3333333  2.8571429 0.2273980         NaN 0.04706984 0.04165567
51  0.3333333  3.5714286 0.2273980         NaN 0.04706984 0.04165567
52  0.3333333  4.2857143 0.2273980         NaN 0.04706984 0.04165567
53  0.3333333  5.0000000 0.2273980         NaN 0.04706984 0.04165567
54  0.3333333  5.7142857 0.2273980         NaN 0.04706984 0.04165567
55  0.3333333  6.4285714 0.2273980         NaN 0.04706984 0.04165567
56  0.3333333  7.1428571 0.2273980         NaN 0.04706984 0.04165567
57  0.3333333  7.8571429 0.2273980         NaN 0.04706984 0.04165567
58  0.3333333  8.5714286 0.2273980         NaN 0.04706984 0.04165567
59  0.3333333  9.2857143 0.2273980         NaN 0.04706984 0.04165567
60  0.3333333 10.0000000 0.2273980         NaN 0.04706984 0.04165567
61  0.4444444  0.0000000 0.2264673 0.009346116 0.04736432 0.04163392
62  0.4444444  0.7142857 0.2273980         NaN 0.04706984 0.04165567
63  0.4444444  1.4285714 0.2273980         NaN 0.04706984 0.04165567
64  0.4444444  2.1428571 0.2273980         NaN 0.04706984 0.04165567
65  0.4444444  2.8571429 0.2273980         NaN 0.04706984 0.04165567
66  0.4444444  3.5714286 0.2273980         NaN 0.04706984 0.04165567
67  0.4444444  4.2857143 0.2273980         NaN 0.04706984 0.04165567
68  0.4444444  5.0000000 0.2273980         NaN 0.04706984 0.04165567
69  0.4444444  5.7142857 0.2273980         NaN 0.04706984 0.04165567
70  0.4444444  6.4285714 0.2273980         NaN 0.04706984 0.04165567
71  0.4444444  7.1428571 0.2273980         NaN 0.04706984 0.04165567
72  0.4444444  7.8571429 0.2273980         NaN 0.04706984 0.04165567
73  0.4444444  8.5714286 0.2273980         NaN 0.04706984 0.04165567
74  0.4444444  9.2857143 0.2273980         NaN 0.04706984 0.04165567
75  0.4444444 10.0000000 0.2273980         NaN 0.04706984 0.04165567
76  0.5555556  0.0000000 0.2264672 0.009346186 0.04736420 0.04163392
77  0.5555556  0.7142857 0.2273980         NaN 0.04706984 0.04165567
78  0.5555556  1.4285714 0.2273980         NaN 0.04706984 0.04165567
79  0.5555556  2.1428571 0.2273980         NaN 0.04706984 0.04165567
80  0.5555556  2.8571429 0.2273980         NaN 0.04706984 0.04165567
81  0.5555556  3.5714286 0.2273980         NaN 0.04706984 0.04165567
82  0.5555556  4.2857143 0.2273980         NaN 0.04706984 0.04165567
83  0.5555556  5.0000000 0.2273980         NaN 0.04706984 0.04165567
84  0.5555556  5.7142857 0.2273980         NaN 0.04706984 0.04165567
85  0.5555556  6.4285714 0.2273980         NaN 0.04706984 0.04165567
86  0.5555556  7.1428571 0.2273980         NaN 0.04706984 0.04165567
87  0.5555556  7.8571429 0.2273980         NaN 0.04706984 0.04165567
88  0.5555556  8.5714286 0.2273980         NaN 0.04706984 0.04165567
89  0.5555556  9.2857143 0.2273980         NaN 0.04706984 0.04165567
90  0.5555556 10.0000000 0.2273980         NaN 0.04706984 0.04165567
91  0.6666667  0.0000000 0.2264673 0.009346223 0.04736433 0.04163388
92  0.6666667  0.7142857 0.2273980         NaN 0.04706984 0.04165567
93  0.6666667  1.4285714 0.2273980         NaN 0.04706984 0.04165567
94  0.6666667  2.1428571 0.2273980         NaN 0.04706984 0.04165567
95  0.6666667  2.8571429 0.2273980         NaN 0.04706984 0.04165567
96  0.6666667  3.5714286 0.2273980         NaN 0.04706984 0.04165567
97  0.6666667  4.2857143 0.2273980         NaN 0.04706984 0.04165567
98  0.6666667  5.0000000 0.2273980         NaN 0.04706984 0.04165567
99  0.6666667  5.7142857 0.2273980         NaN 0.04706984 0.04165567
100 0.6666667  6.4285714 0.2273980         NaN 0.04706984 0.04165567
101 0.6666667  7.1428571 0.2273980         NaN 0.04706984 0.04165567
102 0.6666667  7.8571429 0.2273980         NaN 0.04706984 0.04165567
103 0.6666667  8.5714286 0.2273980         NaN 0.04706984 0.04165567
104 0.6666667  9.2857143 0.2273980         NaN 0.04706984 0.04165567
105 0.6666667 10.0000000 0.2273980         NaN 0.04706984 0.04165567
106 0.7777778  0.0000000 0.2264673 0.009346268 0.04736423 0.04163388
107 0.7777778  0.7142857 0.2273980         NaN 0.04706984 0.04165567
108 0.7777778  1.4285714 0.2273980         NaN 0.04706984 0.04165567
109 0.7777778  2.1428571 0.2273980         NaN 0.04706984 0.04165567
110 0.7777778  2.8571429 0.2273980         NaN 0.04706984 0.04165567
111 0.7777778  3.5714286 0.2273980         NaN 0.04706984 0.04165567
112 0.7777778  4.2857143 0.2273980         NaN 0.04706984 0.04165567
113 0.7777778  5.0000000 0.2273980         NaN 0.04706984 0.04165567
114 0.7777778  5.7142857 0.2273980         NaN 0.04706984 0.04165567
115 0.7777778  6.4285714 0.2273980         NaN 0.04706984 0.04165567
116 0.7777778  7.1428571 0.2273980         NaN 0.04706984 0.04165567
117 0.7777778  7.8571429 0.2273980         NaN 0.04706984 0.04165567
118 0.7777778  8.5714286 0.2273980         NaN 0.04706984 0.04165567
119 0.7777778  9.2857143 0.2273980         NaN 0.04706984 0.04165567
120 0.7777778 10.0000000 0.2273980         NaN 0.04706984 0.04165567
121 0.8888889  0.0000000 0.2264673 0.009346362 0.04736415 0.04163389
122 0.8888889  0.7142857 0.2273980         NaN 0.04706984 0.04165567
123 0.8888889  1.4285714 0.2273980         NaN 0.04706984 0.04165567
124 0.8888889  2.1428571 0.2273980         NaN 0.04706984 0.04165567
125 0.8888889  2.8571429 0.2273980         NaN 0.04706984 0.04165567
126 0.8888889  3.5714286 0.2273980         NaN 0.04706984 0.04165567
127 0.8888889  4.2857143 0.2273980         NaN 0.04706984 0.04165567
128 0.8888889  5.0000000 0.2273980         NaN 0.04706984 0.04165567
129 0.8888889  5.7142857 0.2273980         NaN 0.04706984 0.04165567
130 0.8888889  6.4285714 0.2273980         NaN 0.04706984 0.04165567
131 0.8888889  7.1428571 0.2273980         NaN 0.04706984 0.04165567
132 0.8888889  7.8571429 0.2273980         NaN 0.04706984 0.04165567
133 0.8888889  8.5714286 0.2273980         NaN 0.04706984 0.04165567
134 0.8888889  9.2857143 0.2273980         NaN 0.04706984 0.04165567
135 0.8888889 10.0000000 0.2273980         NaN 0.04706984 0.04165567
136 1.0000000  0.0000000 0.2264673 0.009346368 0.04736420 0.04163389
137 1.0000000  0.7142857 0.2273980         NaN 0.04706984 0.04165567
138 1.0000000  1.4285714 0.2273980         NaN 0.04706984 0.04165567
139 1.0000000  2.1428571 0.2273980         NaN 0.04706984 0.04165567
140 1.0000000  2.8571429 0.2273980         NaN 0.04706984 0.04165567
141 1.0000000  3.5714286 0.2273980         NaN 0.04706984 0.04165567
142 1.0000000  4.2857143 0.2273980         NaN 0.04706984 0.04165567
143 1.0000000  5.0000000 0.2273980         NaN 0.04706984 0.04165567
144 1.0000000  5.7142857 0.2273980         NaN 0.04706984 0.04165567
145 1.0000000  6.4285714 0.2273980         NaN 0.04706984 0.04165567
146 1.0000000  7.1428571 0.2273980         NaN 0.04706984 0.04165567
147 1.0000000  7.8571429 0.2273980         NaN 0.04706984 0.04165567
148 1.0000000  8.5714286 0.2273980         NaN 0.04706984 0.04165567
149 1.0000000  9.2857143 0.2273980         NaN 0.04706984 0.04165567
150 1.0000000 10.0000000 0.2273980         NaN 0.04706984 0.04165567
     RsquaredSD       MAESD
1   0.005602321 0.002224495
2   0.003624991 0.002237704
3   0.003255904 0.002235480
4   0.003110645 0.002234490
5   0.003033037 0.002233933
6   0.002984494 0.002233576
7   0.002951593 0.002233328
8   0.002927872 0.002233145
9   0.002909610 0.002233005
10  0.002895484 0.002232894
11  0.002884061 0.002232805
12  0.002874649 0.002232731
13  0.002866765 0.002232668
14  0.002861128 0.002232775
15  0.002632653 0.002233067
16  0.005606557 0.002224320
17           NA 0.002231948
18           NA 0.002231948
19           NA 0.002231948
20           NA 0.002231948
21           NA 0.002231948
22           NA 0.002231948
23           NA 0.002231948
24           NA 0.002231948
25           NA 0.002231948
26           NA 0.002231948
27           NA 0.002231948
28           NA 0.002231948
29           NA 0.002231948
30           NA 0.002231948
31  0.005607313 0.002224177
32           NA 0.002231948
33           NA 0.002231948
34           NA 0.002231948
35           NA 0.002231948
36           NA 0.002231948
37           NA 0.002231948
38           NA 0.002231948
39           NA 0.002231948
40           NA 0.002231948
41           NA 0.002231948
42           NA 0.002231948
43           NA 0.002231948
44           NA 0.002231948
45           NA 0.002231948
46  0.005607667 0.002224234
47           NA 0.002231948
48           NA 0.002231948
49           NA 0.002231948
50           NA 0.002231948
51           NA 0.002231948
52           NA 0.002231948
53           NA 0.002231948
54           NA 0.002231948
55           NA 0.002231948
56           NA 0.002231948
57           NA 0.002231948
58           NA 0.002231948
59           NA 0.002231948
60           NA 0.002231948
61  0.005607753 0.002224344
62           NA 0.002231948
63           NA 0.002231948
64           NA 0.002231948
65           NA 0.002231948
66           NA 0.002231948
67           NA 0.002231948
68           NA 0.002231948
69           NA 0.002231948
70           NA 0.002231948
71           NA 0.002231948
72           NA 0.002231948
73           NA 0.002231948
74           NA 0.002231948
75           NA 0.002231948
76  0.005607888 0.002224219
77           NA 0.002231948
78           NA 0.002231948
79           NA 0.002231948
80           NA 0.002231948
81           NA 0.002231948
82           NA 0.002231948
83           NA 0.002231948
84           NA 0.002231948
85           NA 0.002231948
86           NA 0.002231948
87           NA 0.002231948
88           NA 0.002231948
89           NA 0.002231948
90           NA 0.002231948
91  0.005608002 0.002224238
92           NA 0.002231948
93           NA 0.002231948
94           NA 0.002231948
95           NA 0.002231948
96           NA 0.002231948
97           NA 0.002231948
98           NA 0.002231948
99           NA 0.002231948
100          NA 0.002231948
101          NA 0.002231948
102          NA 0.002231948
103          NA 0.002231948
104          NA 0.002231948
105          NA 0.002231948
106 0.005608021 0.002224245
107          NA 0.002231948
108          NA 0.002231948
109          NA 0.002231948
110          NA 0.002231948
111          NA 0.002231948
112          NA 0.002231948
113          NA 0.002231948
114          NA 0.002231948
115          NA 0.002231948
116          NA 0.002231948
117          NA 0.002231948
118          NA 0.002231948
119          NA 0.002231948
120          NA 0.002231948
121 0.005608140 0.002224267
122          NA 0.002231948
123          NA 0.002231948
124          NA 0.002231948
125          NA 0.002231948
126          NA 0.002231948
127          NA 0.002231948
128          NA 0.002231948
129          NA 0.002231948
130          NA 0.002231948
131          NA 0.002231948
132          NA 0.002231948
133          NA 0.002231948
134          NA 0.002231948
135          NA 0.002231948
136 0.005608151 0.002224334
137          NA 0.002231948
138          NA 0.002231948
139          NA 0.002231948
140          NA 0.002231948
141          NA 0.002231948
142          NA 0.002231948
143          NA 0.002231948
144          NA 0.002231948
145          NA 0.002231948
146          NA 0.002231948
147          NA 0.002231948
148          NA 0.002231948
149          NA 0.002231948
150          NA 0.002231948
