[1] "Prediction Error: 1.73450"
BestTune:
      alpha lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
31  0.2222222  0.0000000 1.344877 0.08869600 0.3517819 0.2060857 0.02416118
32  0.2222222  0.7142857 1.368259 0.08148254 0.3738993 0.2078771 0.02314436
33  0.2222222  1.4285714 1.394651 0.08148254 0.3898851 0.2069087 0.02314436
34  0.2222222  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
35  0.2222222  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
36  0.2222222  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
37  0.2222222  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
38  0.2222222  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
39  0.2222222  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
40  0.2222222  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
41  0.2222222  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
42  0.2222222  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
43  0.2222222  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
44  0.2222222  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
45  0.2222222 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
46  0.3333333  0.0000000 1.344877 0.08869598 0.3517503 0.2060817 0.02416207
47  0.3333333  0.7142857 1.377864 0.08148254 0.3800614 0.2077063 0.02314436
48  0.3333333  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
49  0.3333333  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
50  0.3333333  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
51  0.3333333  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
52  0.3333333  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
53  0.3333333  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
54  0.3333333  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
55  0.3333333  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
56  0.3333333  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
57  0.3333333  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
58  0.3333333  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
59  0.3333333  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
60  0.3333333 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
61  0.4444444  0.0000000 1.344878 0.08869571 0.3517206 0.2060804 0.02416299
62  0.4444444  0.7142857 1.390521 0.08148254 0.3875543 0.2072578 0.02314436
63  0.4444444  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
64  0.4444444  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
65  0.4444444  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
66  0.4444444  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
67  0.4444444  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
68  0.4444444  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
69  0.4444444  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
70  0.4444444  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
71  0.4444444  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
72  0.4444444  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
73  0.4444444  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
74  0.4444444  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
75  0.4444444 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
76  0.5555556  0.0000000 1.344878 0.08869590 0.3517164 0.2060784 0.02416301
77  0.5555556  0.7142857 1.405867 0.07054866 0.3958944 0.2059061 0.01940737
78  0.5555556  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
79  0.5555556  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
80  0.5555556  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
81  0.5555556  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
82  0.5555556  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
83  0.5555556  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
84  0.5555556  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
85  0.5555556  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
86  0.5555556  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
87  0.5555556  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
88  0.5555556  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
89  0.5555556  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
90  0.5555556 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
91  0.6666667  0.0000000 1.344878 0.08869592 0.3517156 0.2060767 0.02416299
92  0.6666667  0.7142857 1.406133        NaN 0.3960463 0.2056872         NA
93  0.6666667  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
94  0.6666667  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
95  0.6666667  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
96  0.6666667  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
97  0.6666667  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
98  0.6666667  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
99  0.6666667  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
100 0.6666667  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
101 0.6666667  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
102 0.6666667  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
103 0.6666667  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
104 0.6666667  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
105 0.6666667 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
106 0.7777778  0.0000000 1.344879 0.08869600 0.3517146 0.2060757 0.02416303
107 0.7777778  0.7142857 1.406133        NaN 0.3960463 0.2056872         NA
108 0.7777778  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
109 0.7777778  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
110 0.7777778  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
111 0.7777778  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
112 0.7777778  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
113 0.7777778  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
114 0.7777778  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
115 0.7777778  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
116 0.7777778  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
117 0.7777778  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
118 0.7777778  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
119 0.7777778  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
120 0.7777778 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
121 0.8888889  0.0000000 1.344879 0.08869556 0.3516836 0.2060768 0.02416400
122 0.8888889  0.7142857 1.406133        NaN 0.3960463 0.2056872         NA
123 0.8888889  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
124 0.8888889  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
125 0.8888889  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
126 0.8888889  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
127 0.8888889  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
128 0.8888889  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
129 0.8888889  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
130 0.8888889  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
131 0.8888889  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
132 0.8888889  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
133 0.8888889  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
134 0.8888889  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
135 0.8888889 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
136 1.0000000  0.0000000 1.344879 0.08869557 0.3516832 0.2060760 0.02416399
137 1.0000000  0.7142857 1.406133        NaN 0.3960463 0.2056872         NA
138 1.0000000  1.4285714 1.406133        NaN 0.3960463 0.2056872         NA
139 1.0000000  2.1428571 1.406133        NaN 0.3960463 0.2056872         NA
140 1.0000000  2.8571429 1.406133        NaN 0.3960463 0.2056872         NA
141 1.0000000  3.5714286 1.406133        NaN 0.3960463 0.2056872         NA
142 1.0000000  4.2857143 1.406133        NaN 0.3960463 0.2056872         NA
143 1.0000000  5.0000000 1.406133        NaN 0.3960463 0.2056872         NA
144 1.0000000  5.7142857 1.406133        NaN 0.3960463 0.2056872         NA
145 1.0000000  6.4285714 1.406133        NaN 0.3960463 0.2056872         NA
146 1.0000000  7.1428571 1.406133        NaN 0.3960463 0.2056872         NA
147 1.0000000  7.8571429 1.406133        NaN 0.3960463 0.2056872         NA
148 1.0000000  8.5714286 1.406133        NaN 0.3960463 0.2056872         NA
149 1.0000000  9.2857143 1.406133        NaN 0.3960463 0.2056872         NA
150 1.0000000 10.0000000 1.406133        NaN 0.3960463 0.2056872         NA
          MAESD
1   0.010263876
2   0.010278457
3   0.010239696
4   0.010200751
5   0.010168304
6   0.010138097
7   0.010100060
8   0.010068562
9   0.010044033
10  0.010026194
11  0.010009568
12  0.009995729
13  0.009984147
14  0.009973029
15  0.009961182
16  0.010270151
17  0.010212255
18  0.010131578
19  0.010058253
20  0.009996933
21  0.009828731
22  0.009783686
23  0.009783686
24  0.009783686
25  0.009783686
26  0.009783686
27  0.009783686
28  0.009783686
29  0.009783686
30  0.009783686
31  0.010271055
32  0.010162063
33  0.010099877
34  0.009783686
35  0.009783686
36  0.009783686
37  0.009783686
38  0.009783686
39  0.009783686
40  0.009783686
41  0.009783686
42  0.009783686
43  0.009783686
44  0.009783686
45  0.009783686
46  0.010271464
47  0.010186859
48  0.009783686
49  0.009783686
50  0.009783686
51  0.009783686
52  0.009783686
53  0.009783686
54  0.009783686
55  0.009783686
56  0.009783686
57  0.009783686
58  0.009783686
59  0.009783686
60  0.009783686
61  0.010273857
62  0.010190928
63  0.009783686
64  0.009783686
65  0.009783686
66  0.009783686
67  0.009783686
68  0.009783686
69  0.009783686
70  0.009783686
71  0.009783686
72  0.009783686
73  0.009783686
74  0.009783686
75  0.009783686
76  0.010271827
77  0.009899111
78  0.009783686
79  0.009783686
80  0.009783686
81  0.009783686
82  0.009783686
83  0.009783686
84  0.009783686
85  0.009783686
86  0.009783686
87  0.009783686
88  0.009783686
89  0.009783686
90  0.009783686
91  0.010271868
92  0.009783686
93  0.009783686
94  0.009783686
95  0.009783686
96  0.009783686
97  0.009783686
98  0.009783686
99  0.009783686
100 0.009783686
101 0.009783686
102 0.009783686
103 0.009783686
104 0.009783686
105 0.009783686
106 0.010271528
107 0.009783686
108 0.009783686
109 0.009783686
110 0.009783686
111 0.009783686
112 0.009783686
113 0.009783686
114 0.009783686
115 0.009783686
116 0.009783686
117 0.009783686
118 0.009783686
119 0.009783686
120 0.009783686
121 0.010274426
122 0.009783686
123 0.009783686
124 0.009783686
125 0.009783686
126 0.009783686
127 0.009783686
128 0.009783686
129 0.009783686
130 0.009783686
131 0.009783686
132 0.009783686
133 0.009783686
134 0.009783686
135 0.009783686
136 0.010274448
137 0.009783686
138 0.009783686
139 0.009783686
140 0.009783686
141 0.009783686
142 0.009783686
143 0.009783686
144 0.009783686
145 0.009783686
146 0.009783686
147 0.009783686
148 0.009783686
149 0.009783686
150 0.009783686
