pid|size|group4|group5
22169|44|1|2
12999|M|3|3
11241|M|1|2
10421|44,5|4|1
11706|L|1|2
17189|46|4|1
15122|3 ( 40-42 )|1|5
20981|2 ( 37-39 )|1|5
18368|47,5|1|5
10353|47 1/3|4|1
19229|44 2/3|4|1
12683|L|1|5
10927|164|4|1
15273|41|4|5
12698|41|4|1
17711|L|4|1
14350|XL ( 158-170 )|1|5
21083|42|1|2
12660|M|4|1
12230|43|1|2
15845|M|1|2
10886|M|1|2
16302|M|1|2
19328|39|4|1
18867|S ( 128-140 )|1|5
15864|L|1|5
13819|M ( 140-152 )|1|2
11614|L|4|5
13942|43 1/3|4|5
17136|45,5|1|5
19245|S|4|5
15092|128|1|5
11364|44 2/3|1|5
14408|44 2/3|1|2
12985|S|4|1
13235|44,5|1|5
20605|L ( 152-158 )|1|5
14178|M|4|5
21291|L ( 42-46 )|1|5
11034|3 ( 39-42 )|1|2
21915|3 ( 39-42 )|3|3
22054|44|1|5
16369|L ( 42-46 )|1|2
19288|L|1|2
18308|39 - 42|1|5
10343|M|1|5
12205|43 1/3|1|5
12683|XL|4|1
20912|XL|4|5
15935|44,5|1|5
20614|44,5|4|1
10456|L ( 152-158 )|1|5
15366|S|1|5
10312|44|4|5
19225|46|4|1
19668|S ( 128-140 )|1|2
14028|XL|1|5
11250|XL|1|5
11803|140/152|4|5
19145|M ( 38-42 )|1|5
18688|42 2/3|4|1
11803|164/176|4|5
13371|140/152|4|1
10082|L|4|1
16853|L|1|5
15273|47|4|1
11781|40|4|1
13676|M|3|2
13307|37,5|4|1
21160|164|4|1
20840|M ( 140-152 )|4|1
15408|L|1|2
20223|L|3|2
16750|L|3|2
10794|XL ( 158-170 )|1|5
21120|L ( 42-46 )|3|2
13733|L|1|2
17820|M|4|1
15915|L|1|5
17463|140|4|1
18472|XL|1|2
10197|M ( 38-42 )|1|2
13183|XS ( 30-34 )|4|1
19882|152|1|5
14855|2 ( 152 )|1|5
14057|42,5|4|1
11422|5 ( 43-46 )|1|5
17207|5 ( 43-46 )|4|1
15289|5|1|5
16818|S|1|5
18395|L|1|2
14178|XL|1|5
19288|XL|1|2
21227|S|1|5
22614|M ( 140-152 )|1|5
12324|L|3|3
19964|L|2|3
20450|L|1|2
20450|M|1|5
18621|2XL|4|5
11509|5 ( 46-48 )|4|1
20748|XL|1|2
11256|XL|4|1
10785|XL|3|3
19963|39|4|1
13183|M ( 38-42 )|1|5
15256|S|4|1
22758|S|1|2
13775|164|4|5
13226|42|4|5
11026|42|4|1
22428|42|4|5
14297|40|3|2
11025|S|4|1
16894|140|4|5
16385|1 ( 34-36 )|1|5
12988|1 ( 34-36 )|1|5
19760|M|3|3
13441|M|1|5
14057|43|4|1
14789|128|1|2
13733|M|1|5
18477|164|1|5
17372|L|4|5
13485|4 ( 43-45 )|1|2
13085|33|4|5
22338|S|4|1
19351|S|4|1
11501|L|4|1
22758|L|4|1
16877|L|3|2
20627|M|1|2
18856|L|1|5
19018|L|1|5
16206|44|4|1
19013|M|3|2
12254|164/176|4|1
12472|164|1|5
12472|128|4|5
14479|44|4|1
12513|44,5|4|1
21802|L|4|1
19325|32|4|1
16170|L ( 42-46 )|1|2
14028|L|1|5
21924|40 2/3|4|1
10706|XL ( 158-170 )|1|2
19668|XL ( 158-170 )|1|5
20579|L|1|2
20579|S|4|1
20579|M|1|2
19668|L ( 152-158 )|1|5
15366|L|1|5
15366|M|1|5
10312|44 2/3|4|5
17654|S|1|2
21738|44 2/3|4|1
12720|M|3|3
14055|M|4|1
20223|M|1|2
17736|M|1|5
19178|45 1/3|4|1
12861|L ( 42-46 )|1|2
12498|0 ( Bambini )|1|5
10415|XL|1|2
10415|L|3|2
17189|41|4|5
12163|S|4|5
21155|164|4|1
21477|S|4|5
11811|44,5|4|1
15057|M|4|5
12645|M|3|2
20686|M|1|5
10365|L|1|5
12645|S|1|2
10365|S|1|2
13485|1 ( 34-36 )|4|1
22151|140|3|3
10416|43 1/3|1|5
18688|43 1/3|4|1
22613|42,5|4|5
21980|M|4|1
14055|XL|4|1
20025|XL|3|2
20025|L|3|2
19517||1|5
15752|41|1|5
18504|XL|1|2
12698|43|3|3
19351|M|4|1
20748|M|1|2
14793|M|1|2
11584|XL ( 158-170 )|1|5
10607|140|1|5
22678|140|4|1
15992|42,5|4|5
18749|M|1|2
11025|XL|1|5
21227|M|1|5
13821|XL|1|5
12720|XL|3|2
17218|XL|4|5
11604|XL|4|5
22463|XL|3|3
10361|XL|4|5
17985|S|1|2
11920|XL ( 158-170 )|1|5
12229|XL ( 158-170 )|1|5
21477|XL|1|2
16635|XL|3|3
19191|46|4|1
15143|S|1|5
15143|2XL|3|2
12919|XL ( 158-170 )|1|5
12299|L ( 152-158 )|1|5
11101|L|1|2
20529|M|4|1
10559|4 ( 43-45 )|4|1
10416|42 2/3|1|5
16640|M|1|5
10463|L|3|2
16473|L|1|2
20463|L|3|3
14501|M|1|5
17173|M|1|5
14408|44|1|5
21282|M|1|2
13394|M|1|5
15590|42 2/3|4|1
15141|XL|1|5
22244|M|4|1
11683|41|4|1
22463|M|3|3
12484|M|4|5
16876|M|1|5
12720|S|3|3
18621|XL/T|1|5
17180|2XL|3|2
19760|XL|3|3
18143|M|3|2
14028|M|1|5
17884|M|4|1
14836|3 ( 40-42 )|1|5
10748|3 ( 40-42 )|1|5
14869|M|4|1
15252|44 2/3|4|1
21974|M ( 38-42 )|1|5
15625|XL ( 158-170 )|1|5
10772|XL|1|2
12918|L|1|5
17901|L|1|2
15086|XL (46-50 )|1|5
18105|L|1|5
12861|XL (46-50 )|3|2
22354|43 1/3|4|5
17578|42 2/3|1|5
11683|42,5|4|1
14735|128|4|1
12161|0 ( Bambini )|1|5
21291|S ( 34-38 )|1|5
20900|L ( 42-46 )|1|5
19098|S|1|5
12031|S|3|3
14639|L|4|1
18195|L|1|2
19280|41|3|3
11929|L|4|1
10125|L|1|2
13758|L|1|5
10772|L|1|2
20614|41|4|1
10828|L ( 42-46 )|1|5
10306|L ( 42-46 )|1|2
19613|44,5|3|3
16894|164|4|5
19963|40|4|1
21170|L|3|2
13284|L|1|5
18867|M ( 140-152 )|1|5
13974|L|1|2
22463|L|3|2
10854|38|4|1
11604|L|4|5
14266|44|4|1
13195|152|1|5
19885|S|3|2
20823|38|4|5
14988|M ( 38-42 )|1|5
17103|176|4|1
14259|4 ( 43-45 )|3|2
10158|M|1|2
21692|M|4|1
12503|38|4|1
13485|3 ( 40-42 )|1|5
22420|S|1|5
20111|M|1|5
20111|S|1|5
10558|164|4|1
10558|152|4|1
22420|M|1|2
12850|M ( 140-152 )|4|1
15220|M|1|5
21377|41|4|1
11762|L|1|5
13195|140|4|5
19851|L|1|2
15379|2XL|4|1
18195|S|3|2
12689|XL ( 158-170 )|4|5
13821|S|4|1
21980|XL|1|5
12698|45|4|5
13595|XL ( 158-170 )|4|1
20222|XL ( 158-170 )|3|2
22618|XL ( 158-170 )|1|5
12952|XL ( 158-170 )|1|2
18076|L|4|5
11669|2XL|1|2
13381|L|1|2
14663|M|1|2
15974|M|1|5
16000|M|3|3
10297|M|4|1
20327|M|1|2
13183|L ( 42-46 )|1|5
14185|L|4|1
10378|L|1|2
12988|5 ( 46-48 )|1|5
20803|L|1|5
15046|45|4|1
17690|L|1|5
17076|44 2/3|4|1
10912|S|1|2
13452|46 2/3|4|1
18946|S|3|3
22581|45,5|3|3
22581|43|1|5
16640|L|1|5
15955|38,5|1|5
15955|38|4|1
18657|S|1|5
10289|43 1/3|4|1
17173|S|1|5
16462|M|4|5
20221|S|4|1
22073|M|4|1
17027|M|1|5
18977|2 ( Senior )|4|1
13238|M|1|5
13974|M|1|5
16216|M ( 38-42 )|1|5
19913|44,5|4|1
17189|43|4|1
18185|43|4|5
10878|L|1|2
16750|M|1|2
16750|S|1|2
15715|L|3|3
21623|40,5|4|5
20162|3 ( 40-42 )|3|3
12179|42|4|5
12179|41|1|2
14129|40 2/3|4|1
18339|42|1|5
16213|S|1|2
16213|M|3|2
16872|2 ( 37-39 )|1|2
16872|3 ( 40-42 )|4|5
16872|4 ( 43-45 )|1|5
12859|39 1/3|4|1
10289|46|4|5
16766|2 ( Senior )|4|1
15119|4 ( 43-45 )|1|2
11433|M|1|2
13058|L|1|5
15472|M|1|5
15472|L|4|5
22136|38,5|4|1
10065|2 ( 37-39 )|1|2
13437|M|4|5
17212|M|3|2
17212|S|3|2
10065|4 ( 43-45 )|4|1
16848|2XL|3|2
16848|XL|3|2
16848|M|1|2
16848|L|3|2
16848|S|1|2
15962|M|1|5
14659|L ( 42-46 )|1|5
16213|L|3|3
15633|L|4|1
21465|L|3|2
22614|XL ( 158-170 )|1|5
12765|128|4|1
19337|42 2/3|4|1
12703|44|1|2
16856|140|4|1
10025|140|4|1
17173|XL|4|5
13500|140|4|5
12437|10 (140)|4|1
16247|M|3|2
13226|42,5|4|1
12585|L|3|3
12585|S|3|2
11669|XL|1|5
11669|S|1|2
11669|L|1|2
18313|42,5|1|5
12217|42,5|4|1
11252|128|1|5
16799|XS ( 116-128 )|4|1
22614|XS ( 116-128 )|1|5
14781|L|1|5
18534|42 2/3|1|5
11809|L|1|2
15988|5 ( 43-46 )|1|5
12025|M|1|2
18297|L ( 40/42 )|2|4
13226|41|4|1
12698|42|1|5
21710|152|1|5
20106|L ( 152-158 )|4|1
22144|M ( 38-42 )|1|5
17494|S|4|1
12988|2 ( 37-39 )|1|5
15890|L|4|1
12513|43|4|1
15086|XS ( 30-34 )|1|5
13112|L ( 152-158 )|1|2
12045|46|1|5
18657|L|1|5
18308|43 - 46|1|5
11582|140|4|1
10439|M|3|3
21975|S|4|1
16818|2XL|1|5
19963|47|1|5
12179|47|1|2
21769|47|4|1
21372|XL|1|2
20823|38,5|4|5
10925|M|3|3
21724|37,5|4|5
11184|36|4|1
17240|L|1|5
21372|S|3|3
16216|L ( 42-46 )|1|5
22200|40|4|1
19963|42,5|4|1
16872|5 ( 46-48 )|4|5
13762|M|3|3
11501|M|4|1
17189|45|4|5
17690|XL|1|5
14264|XL|1|5
14259|3 ( 40-42 )|1|2
16385|4 ( 43-45 )|1|2
16385|3 ( 40-42 )|1|2
12988|3 ( 40-42 )|1|5
10559|2 ( 37-39 )|4|5
18472|S|1|2
16818|XL|1|5
16354|L|1|5
10619|L|1|2
20748|L|1|2
19588|S|3|2
21405|M|3|2
14111|XL ( 158-170 )|1|5
12861|S ( 34-38 )|1|5
13183|S ( 34-38 )|1|5
19505|M|1|5
13198|M|3|2
18301|M|3|3
19499|M ( 38-42 )|1|2
12360|M|4|5
11957|XL|3|2
11957|L|3|2
15086|L ( 42-46 )|1|5
15375|M ( 38-42 )|4|1
10756|M ( 38-42 )|1|5
17502|M|1|5
21858|M|1|5
12230|39|1|5
12230|40|1|2
17372|XL|4|5
21988|M|4|5
13484|M|1|2
20098|M|4|5
20529|XL|4|1
16396|S|4|1
11187|L|2|3
15158|L|1|5
11605|44 2/3|4|1
11605|44|1|5
10421|41|4|5
16877|M|3|2
10416|48|1|5
22613|45|1|2
18228|L|3|3
11757|L|1|2
22820|164|4|1
15942|164|1|5
21446|164|1|2
11604|M|4|5
11025|L|4|5
16120|43|1|5
14390|44|4|1
21743|L|1|5
21743|M|1|5
13190|44,5|4|1
14350|L ( 152-158 )|1|5
12698|44,5|1|5
21900|42|4|1
16125|M|3|2
18477|158|4|5
15122|2 ( 37-39 )|1|5
20548|L|1|5
22012|L ( 42-46 )|1|5
22012|S ( 34-38 )|1|2
16982|43|4|1
19018|M|1|5
22842|S|1|5
13847|L ( 42-46 )|1|5
14659|M ( 38-42 )|1|5
15256|L|4|1
17189|42,5|1|5
13901|M|1|5
10772|M|1|2
21282|XS|1|5
15363|L|4|5
14650|38,5|4|1
21337|S|1|5
21541|S|4|5
11706|M|3|2
17901|M|1|5
19506|XL ( 158-170 )|1|5
17884|XL|4|1
17547|L|4|5
14461|L|1|5
20158|M|4|1
13198|S|4|5
17494|M|1|5
17182|XL|1|5
16126|37,5|4|1
15064|2XL|1|2
12918|XL|1|5
15141|S|1|5
14501|L|1|5
10794|L ( 152-158 )|1|5
11929|XL|4|1
20505|S|4|1
18297|M ( 38/40 )|3|3
20505|M|1|5
14334|M|1|2
19588|M|1|2
16221|M|1|2
17788|M|1|2
18185|42|1|5
15122|1 ( 34-36 )|1|5
16353|XL ( 158-170 )|4|1
20567|140/152|4|1
18669|152|4|1
11252|116|1|5
11252|152|3|2
17180|XL|1|5
14705|M|4|1
16343|L|3|2
16343|M|3|2
19851|M|1|2
22456|M|1|2
18060|43 1/3|1|5
19639|44|4|1
10645|L|3|3
11607|M|1|5
13733|2XL|1|2
10912|2XL|3|2
16313|XL|1|2
22575|YXL 157,5-167,5|4|5
16125|L|3|2
10170|L ( 42-46 )|1|2
20802|44|1|2
12653|L|3|2
19678|XL|1|5
12653|XL|3|3
18982|XL|1|2
18375|XL|1|2
18756|M ( 140-152 )|1|5
18375|M|1|2
20981|4 ( 43-45 )|4|5
18657|M|1|5
11463|37,5|1|5
17189|44|4|5
22420|L|1|5
21409|M|4|1
18774|44|4|1
19168|L|4|5
20106|XL ( 158-170 )|1|5
11357|L|4|1
10084|L|4|1
10361|L|4|1
14672|42 2/3|1|5
11890|M|4|5
20149|L|1|5
14210|44|4|5
10456|M ( 140-152 )|1|5
12765|140|4|1
16942|140|3|2
16872|1 ( 34-36 )|4|5
21980|L|1|5
12575|L|4|1
16992|M|3|2
10402|M|3|2
20705|46|4|1
16313|L|3|2
16313|M|3|2
11523|M ( 140-152 )|1|2
20386|M|4|5
14383|140/152|4|1
20891|37,5|4|5
12041|37,5|4|5
21022|152|4|1
11100|152|1|5
13500|152|1|5
11582|152|4|5
21974|L ( 42-46 )|1|5
15974|XL|1|2
20709|XL (46-50 )|1|2
13320|42,5|1|5
17932|L|3|2
15750|3 ( 39-42 )|4|1
19432|M|4|1
11817|46|1|5
22200|43|4|1
20810|L|1|2
22151|152|3|3
10197|L ( 42-46 )|1|2
14915|XL ( 158-170 )|1|5
21225|2 ( 37-39 )|1|2
16287|42,5|1|5
21900|46|1|5
17022|44|4|1
22200|44|4|1
13931|L|1|2
13195|164|1|5
14028|S|1|5
21999|L|4|5
21999|M|1|5
21999|S|4|1
11256|M|1|5
19098|M|1|5
18807|44|4|1
13069|164|1|5
20219|L|1|2
13069|140|4|5
22613|46|1|2
20162|5 ( 46-48 )|1|5
17212|L|3|2
15913|43|2|3
20705|42|4|1
11600|44,5|4|1
12645|L|3|2
16496|152|4|5
21289|140|4|1
12083|2|4|1
17907|L|1|2
15121|L|1|5
16462|S|1|5
22456|S|1|2
10119|41 1/3|4|5
14050|L|1|2
13320|43|4|1
16232|XL|3|3
17778|45,5|4|5
13342|M|4|1
22308|M ( 38-42 )|1|5
10312|45 1/3|1|5
12179|46|4|1
12179|45,5|1|5
17788|XL|1|5
17797|M|3|3
19229|46 2/3|1|5
11757|S|3|3
11757|M|3|2
22711|S|1|2
20050|164|4|1
10402|S|1|5
15593|176|1|5
18321|S|1|5
15143|L|1|5
15046|46|4|5
16345|M ( 140-152 )|4|1
15822|4 ( 43-45 )|1|2
20105|L|1|5
16400|44,5|4|1
16369|M ( 38-42 )|4|1
13642|2XL|1|5
11260|M|3|2
14238|45|4|5
21623|45|4|1
17861|46|1|5
10119|46|4|1
12703|46|1|5
14080|45,5|1|5
12552|XL ( 158-170 )|1|5
10948|44,5|1|2
11604|S|1|5
14259|5 ( 46-48 )|4|1
22614|S ( 128-140 )|1|5
11699|45|4|5
15018|M|1|2
19537|M|4|1
10310|128|4|1
21875|128|1|5
19678|L|1|5
14919|37 1/3|4|1
21738|48 2/3|1|5
21738|48|4|1
21738|47 1/3|4|5
11175|46|4|5
19450|M|1|2
11010|M|4|1
20463|M|1|2
13775|128|4|1
13195|128|4|1
20017|L|1|5
15219|140|4|5
12703|42|1|5
15890|M|1|5
14639|M|1|5
20370|XL|1|2
20370|L|3|2
20370|M|3|2
15017|XL|3|2
10402|XL|3|3
16750|XL|3|2
10878|XL|1|2
20223|XL|3|2
18091|L|1|5
15974|L|1|5
18091|M|1|2
22625|S ( 128-140 )|4|1
15810|42|1|5
15122|5 ( 46-48 )|1|5
11877|43 1/3|4|5
10575|42|4|1
17771|M|1|2
20614|42|4|1
16049|L|3|3
16049|M|1|2
16049|XL|1|2
16357|L|1|2
11475|M|1|5
14248|39|4|1
20149|XL|4|1
15143|XL|1|5
15176|M|4|1
14192|L|4|1
14429|45|1|5
21541|M|1|2
21541|L|1|2
13935|L|4|5
13935|XL|4|5
13935|M|1|5
18105|S|1|5
22574|42|1|2
10575|44|4|1
16799|L ( 152-158 )|1|5
13136|M ( 140-152 )|1|5
13427|46|1|5
10645|M|3|3
16302|S|1|5
17633|45|4|5
22169|46|1|2
17496|L ( 152-158 )|1|5
20505|XL|1|2
12161|1 ( Junior)|1|5
15946|L|1|5
16170|M ( 38-42 )|1|5
18504|L|1|2
12894|43|4|5
17195|43 - 46|1|5
22190|43 - 46|1|2
13916|164|1|5
21377|44|1|5
18707|L|4|1
21496|L|1|5
15810|45|4|5
14509|M|1|5
22073|L|4|5
11877|46|4|5
16184|1 ( Junior)|4|1
12703|46 2/3|1|2
18472|M|1|5
20709|S ( 34-38 )|1|5
10828|S ( 34-38 )|4|5
12025|XL|3|2
20456|XL (46-50 )|1|5
14198|164/176|4|1
14383|164/176|4|5
17372|M|4|5
19615|L ( 42-46 )|4|1
11581|164|1|5
16885|36 2/3|4|5
18688|45 1/3|4|1
14393|4 ( 43-45 )|4|5
19986|L|1|2
11890|L|4|1
20096|L ( 42-46 )|1|5
22842|L|1|2
13381|XL|1|2
18060|46|1|5
19887|44,5|1|5
22422|40|4|5
18911|M|1|2
14218|L|1|5
18911|L|1|5
20386|L|4|1
19067|43|4|1
22070|164|1|5
22070|152|4|1
13582|XL ( 158-170 )|4|1
13582|L ( 152-158 )|4|5
13582|M ( 140-152 )|4|5
19242|L ( 152-158 )|4|5
19242|XL ( 158-170 )|1|5
19242|M ( 140-152 )|1|5
10421|46|1|5
22354|45 1/3|4|5
12984|43 - 46|1|5
14988|L ( 42-46 )|1|5
15399|2XL|1|5
15277|42|4|1
21017|44|4|1
13967|M|4|1
14718|M|3|2
20042|5 ( 46-48 )|3|2
14067|39 - 42|1|2
11173|M|1|5
11173|XL|3|2
11173|L|1|5
14111|M ( 140-152 )|1|5
10912|M|3|2
12786|S|4|1
12569|46|1|5
14408|43 1/3|1|2
19678|S|1|5
14705|S|1|5
18368|44|4|1
21270|L|1|2
12238|M|1|5
11614|M|4|5
12211|38,5|4|1
10878|S|1|2
11683|45,5|1|5
12569|44,5|1|5
21692|L|4|1
14659|S ( 34-38 )|1|5
19897|36,5|4|1
15381|40 2/3|4|1
12230|40,5|4|1
22100|43 - 46|1|5
16780|47|4|1
16427|42|4|1
15608|M|1|2
15279|M|3|2
18339|45 1/3|1|5
12786|L|3|2
22823|L|1|5
16153|36,5|4|1
21378|3 ( 39-42 )|4|5
12730|42,5|4|5
18161|S|4|1
13508|M|1|5
13508|S|1|5
19837|L|4|5
20532|L ( 152-158 )|4|5
15252|45 1/3|1|5
22561|M|4|1
22607|M|1|5
15190|M|3|3
15044|XL|4|1
16276|43|1|5
17788|L|1|2
17537|S|1|2
19963|44,5|4|1
20158|L|4|1
16172|L|3|3
17570|L|1|2
17570|M|3|3
10936|M|1|5
11185|44|4|1
13320|42|4|1
15493|L ( 152-158 )|1|5
11874|XL|3|2
10312|40|4|1
10904|45,5|1|5
22553|M ( 38-42 )|3|2
22354|41 1/3|1|5
16982|45|4|1
12653|S|1|5
11966|S|4|1
17189|40,5|4|1
11582|176|1|5
22170|44 2/3|1|5
16894|152|4|5
12032|S|1|5
16665|37,5|4|1
16665|36,5|4|1
13401|XL|2|3
13401|S|4|5
13401|L|3|3
13401|M|1|2
11817|47 1/3|4|1
20667|M|2|4
21270|M|1|5
18126|40,5|1|5
18296|140/152|1|5
13942|42 2/3|4|1
15211|XL ( 158-170 )|1|5
12458|45|1|5
10466|44 2/3|4|1
10466|44|4|1
22051|XL|4|1
10904|44|4|5
13612|45|1|2
10158|L|1|2
18548|34|4|1
13054|164|4|5
16976|M|1|2
11093|44 2/3|1|5
10878|M|1|2
17050|M|1|2
10282|44|4|5
19963|45,5|4|1
19354|L|1|5
13762|L|3|3
22869|40,5|4|5
10361|S|4|1
19098|L|2|3
22362|S|1|2
11762|S|1|5
15046|44,5|4|1
21282|L|1|2
10421|44|1|5
13002|XL ( 44/46 )|1|5
17572|XL ( 158-170 )|1|2
17592|L|1|2
16091|44|4|5
21160|128|1|2
10828|M ( 38-42 )|1|5
21337|M|1|2
14238|44|4|1
17050|S|1|2
13226|43|4|5
16257|6|4|5
19671|43 1/3|1|5
12703|43 1/3|1|5
22613|43|1|5
19280|44|3|3
15935|44|4|1
16827|XL|1|5
15590|42|4|1
10421|45|1|2
16213|2XL|1|2
11791|2XL|4|1
14592|2XL|4|5
17690|2XL|1|5
19671|47 1/3|4|1
19671|46 2/3|4|1
10619|S|1|5
18184|XL|3|3
18184|2XL|3|3
18184|L|3|3
18184|M|2|3
18184|S|3|3
10414|3XL|4|5
10414|XL|1|2
10414|2XL|4|5
10414|L|1|5
10414|M|3|3
10414|S|2|3
16975|140|4|5
21906|45|1|5
13791|42,5|1|5
11781|42,5|4|1
15543|M ( 38-42 )|1|5
22710|M|4|1
20149|S|4|1
14523|L ( 42-46 )|4|5
11874|M|3|3
20605|XL ( 158-170 )|1|5
17463|152|1|5
13609|M|1|5
12859|43 1/3|1|5
17907|M|1|5
14228|XL|3|3
14228|L|3|3
20510|40,5|4|1
16579|40,5|4|5
21738|44|4|5
14083|S|3|2
16735|S|3|2
12789|XL (46-50 )|4|1
13195|176|4|5
13775|176|1|5
20670|38|4|1
22338|2XL|4|1
17140|42 2/3|1|2
12161|2 ( Senior )|4|1
11475|L|1|5
11781|41|4|5
20709|L ( 42-46 )|1|2
18471|L|1|5
20149|M|4|5
10289|44|4|1
16797|164|1|5
16254|164/176|4|5
22581|44,5|1|2
12703|44 2/3|1|2
21025|XL|4|5
10167|M|1|5
16970|M|4|1
18513|M|4|5
18015|XL|3|2
10812|40|4|1
18667|164|3|3
17800|L|1|5
21564|M|4|5
19020|38|1|5
17140|45 1/3|1|5
13730|M|4|1
13730|L|4|1
11183|L|1|5
20074|L|1|2
12597|L|1|2
21738|42 2/3|1|5
12667|L|4|5
12250|46|1|5
12698|40,5|1|5
11391|M|1|2
