original.size|size1|size2|size3|size4|child.cloth
168|XL/T|XL.12|XL|XL|XL|0
169|XS|XS|XS|XS|XS|0
170|XS ( 116-128 )|N.XS|XS|XS|XS|1
171|XS ( 30-34 )|XS|XS|XS|0|0
172|XS ( 32 )|XS|XS|XS|XS|0
173|XS ( 32/34 )|XS|XS|XS|XS|0
174|XS/S|XS|XS|XS|XS|0
175|YLG 147,5-157,5|UA.L|L|L|L|1
176|YM 135-147,5|UA.M|M|M|M|1
177|YSM 125-135|UA.S|S|S|S|1
178|YXL 157,5-167,5|UA.XL|XL|XL|XL|1
