"","pid","size","comp.clust.trans"
"313","12919","XL ( 158-170 )",5
"314","12984","39 - 42",2
"315","12984","43 - 46",9
"316","12985","2XL",9
"317","12985","L",9
"318","12985","S",2
"319","12985","XL",6
"320","12985","XS",2
"321","12988","1 ( 34-36 )",3
"322","12988","2 ( 37-39 )",4
"323","12988","3 ( 40-42 )",1
"324","12988","4 ( 43-45 )",2
"325","12988","5 ( 46-48 )",1
"326","12999","L",7
"327","12999","M",7
"328","13008","2XL",1
"329","13008","L",1
"330","13008","M",1
"331","13008","S",4
"332","13008","XL",1
"333","13036","L",4
"334","13069","140",2
"335","13069","164",4
"336","13112","XL ( 158-170 )",1
"337","13183","L ( 42-46 )",10
"338","13183","M ( 38-42 )",1
"339","13183","S ( 34-38 )",3
"340","13183","XL (46-50 )",4
"341","13185","L",1
"342","13185","M",3
"343","13195","128",7
"344","13195","140",3
"345","13195","152",6
"346","13195","164",1
"347","13195","176",8
"348","13198","L",2
"349","13198","M",5
"350","13242","M",2
"351","13284","L",9
"352","13284","M",2
"353","13284","XL",7
"354","13339","M",1
"355","13342","L",1
"356","13342","M",2
"357","13347","4 ( 43-46 )",3
"358","13371","140/152",3
"359","13371","164/176",3
"360","13381","L",2
"361","13381","M",2
"362","13401","L",3
"363","13404","L",1
"364","13404","M",2
"365","13404","S",7
"366","13455","44",1
"367","13455","45",2
"368","13474","M",3
"369","13485","2 ( 37-39 )",7
"370","13485","3 ( 40-42 )",4
"371","13485","4 ( 43-45 )",10
"372","13485","5 ( 46-48 )",3
"373","13500","164",2
"374","13508","L",8
"375","13508","M",1
"376","13532","M",5
"377","13612","43",1
"378","13721","L",3
"379","13721","M",2
"380","13721","S",1
"381","13733","2XL",1
"382","13733","L",8
"383","13733","M",2
"384","13733","S",4
"385","13733","XL",1
"386","13758","L",5
"387","13762","L",5
"388","13762","M",2
"389","13775","128",1
"390","13775","140",8
"391","13775","164",10
"392","13775","176",8
"393","13800","M",5
"394","13816","L ( 42-46 )",2
"395","13817","L",1
"396","13817","M",5
"397","13817","XL",3
"398","13821","L",9
"399","13821","M",1
"400","13821","S",5
"401","13821","XL",1
"402","13847","S ( 34-38 )",1
"403","13916","140",3
"404","13916","164",3
"405","13916","176",5
"406","13931","L",6
"407","13931","M",7
"408","13931","S",4
"409","13931","XL",1
"410","13935","L",4
"411","14011","L",4
"412","14028","L",5
"413","14028","M",1
"414","14028","S",5
"415","14028","XL",3
"416","14067","39 - 42",7
"417","14067","43 - 46",8
"418","14083","L",3
"419","14083","M",2
"420","14111","L ( 152-158 )",7
"421","14111","M ( 140-152 )",1
"422","14111","XL ( 158-170 )",10
"423","14129","43 1/3",1
"424","14178","2XL",6
"425","14178","L",6
"426","14178","M",5
"427","14178","S",1
"428","14178","XL",4
"429","14228","L",1
"430","14228","M",9
"431","14228","S",2
"432","14228","XL",7
"433","14259","3 ( 40-42 )",2
"434","14259","4 ( 43-45 )",10
"435","14259","5 ( 46-48 )",3
"436","14261","L",10
"437","14261","M",9
"438","14261","S",6
"439","14264","2XL",2
"440","14264","L",2
"441","14264","S",2
"442","14264","XL",5
"443","14268","L ( 42-46 )",5
"444","14268","M ( 38-42 )",2
"445","14328","M",3
"446","14350","L ( 152-158 )",1
"447","14350","XL ( 158-170 )",9
"448","14393","2 ( 37-39 )",1
"449","14408","41 1/3",3
"450","14408","42",2
"451","14408","42 2/3",6
"452","14408","43 1/3",1
"453","14408","44",5
"454","14408","44 2/3",1
"455","14438","L",1
"456","14482","L",1
"457","14482","M",1
"458","14501","L",10
"459","14501","M",1
"460","14501","S",2
"461","14501","XL",7
"462","14509","L",2
"463","14510","L",2
"464","14510","M",3
"465","14514","L",4
"466","14523","L ( 42-46 )",2
"467","14523","M ( 38-42 )",2
"468","14586","L",1
"469","14586","M",10
"470","14603","L",2
"471","14603","M",8
"472","14648","XL ( 158-170 )",1
"473","14659","L ( 42-46 )",4
"474","14659","M ( 38-42 )",5
"475","14659","S ( 34-38 )",3
"476","14659","XL (46-50 )",3
"477","14663","L",7
"478","14663","M",3
"479","14663","XL",1
"480","14669","M",2
"481","14705","L",5
"482","14705","M",1
"483","14705","S",2
"484","14705","XL",5
"485","14760","4 ( 43-45 )",2
"486","14793","L",1
"487","14793","M",3
"488","14815","L",5
"489","14815","M",5
"490","14833","M",4
"491","14836","3 ( 40-42 )",3
"492","14836","4 ( 43-45 )",3
"493","14836","5 ( 46-48 )",1
"494","14854","L ( 42-46 )",5
"495","14854","S ( 34-38 )",3
"496","14855","2 ( 152 )",2
"497","14855","3 ( 164 )",5
"498","14860","L",1
"499","14863","L",2
"500","14988","L ( 42-46 )",2
"501","14988","M ( 38-42 )",4
"502","15017","L",4
"503","15017","M",5
"504","15049","L",3
"505","15049","M",2
"506","15057","M",1
"507","15057","XL",5
"508","15064","L",9
"509","15064","M",10
"510","15064","S",5
"511","15064","XL",3
"512","15070","L",7
"513","15070","M",2
"514","15086","L ( 42-46 )",6
"515","15086","M ( 38-42 )",10
"516","15086","S ( 34-38 )",3
"517","15086","XL (46-50 )",3
"518","15092","152",2
"519","15097","M",8
"520","15119","4 ( 43-45 )",5
"521","15122","2 ( 37-39 )",2
"522","15122","3 ( 40-42 )",7
"523","15122","4 ( 43-45 )",1
"524","15122","5 ( 46-48 )",8
"525","15131","152",8
"526","15141","L",4
"527","15141","M",2
"528","15141","S",5
"529","15141","XL",2
"530","15143","L",2
"531","15143","M",1
"532","15172","L",3
"533","15172","M",4
"534","15190","L",2
"535","15190","M",7
"536","15211","XL ( 158-170 )",5
"537","15219","152",7
"538","15219","176",1
"539","15249","4 ( 43-45 )",5
"540","15279","2XL",8
"541","15279","L",2
"542","15279","M",1
"543","15279","S",8
"544","15279","XL",4
"545","15282","4 ( 39-42 )",1
"546","15282","5 ( 43-46 )",1
"547","15292","L",10
"548","15292","M",4
"549","15292","S",4
"550","15292","XL",2
"551","15366","L",7
"552","15366","M",1
"553","15366","S",8
"554","15379","M",5
"555","15379","S",2
"556","15379","XL",1
"557","15390","L",2
"558","15408","L",7
"559","15408","M",1
"560","15408","S",2
"561","15408","XL",1
"562","15413","L",5
"563","15413","M",5
"564","15413","S",4
"565","15413","XL",3
"566","15482","152",1
"567","15482","164",2
"568","15493","L ( 152-158 )",5
"569","15493","XL ( 158-170 )",6
"570","15543","L ( 42-46 )",4
"571","15593","176",3
"572","15608","L",3
"573","15608","M",7
"574","15608","S",2
"575","15608","XL",2
"576","15614","L",1
"577","15614","M",1
"578","15670","L ( 42-46 )",3
"579","15670","S ( 34-38 )",2
"580","15750","4 ( 43-46 )",3
"581","15757","L ( 152-158 )",2
"582","15757","XL ( 158-170 )",4
"583","15790","L",2
"584","15790","M",5
"585","15845","2XL",1
"586","15845","L",1
"587","15845","M",1
"588","15845","S",1
"589","15845","XL",9
"590","15891","M",2
"591","15915","L",4
"592","15915","M",1
"593","15915","S",4
"594","15944","L",10
"595","15944","M",1
"596","15944","S",1
"597","15944","XL",1
"598","15946","L",3
"599","15946","M",4
"600","15946","S",1
"601","15953","L ( 152-158 )",2
"602","15953","M ( 140-152 )",5
"603","15974","L",2
"604","15974","M",9
"605","15974","S",4
"606","15974","XL",2
"607","15984","M",2
"608","16030","L",1
"609","16030","S",2
"610","16030","XL",2
"611","16051","L",1
"612","16051","M",2
"613","16125","L",9
"614","16125","M",4
"615","16125","S",2
"616","16125","XL",7
"617","16157","43 1/3",7
"618","16157","44",10
"619","16170","L ( 42-46 )",2
"620","16170","M ( 38-42 )",4
"621","16172","M",1
"622","16184","0 ( Bambini )",5
"623","16213","L",7
"624","16213","M",2
"625","16216","L ( 42-46 )",2
"626","16216","M ( 38-42 )",4
"627","16216","S ( 34-38 )",2
"628","16221","L",5
"629","16221","M",2
"630","16221","S",3
"631","16221","XL",2
"632","16302","L",5
"633","16302","M",4
"634","16309","L",5
"635","16309","M",2
"636","16309","XL",1
"637","16313","L",7
"638","16313","M",3
"639","16313","XL",5
"640","16319","L",5
"641","16319","M",3
"642","16325","L",7
"643","16349","L",2
"644","16349","M",5
"645","16354","L",1
"646","16369","L ( 42-46 )",4
"647","16369","M ( 38-42 )",5
"648","16385","2 ( 37-39 )",4
"649","16385","3 ( 40-42 )",8
"650","16385","4 ( 43-45 )",9
"651","16385","5 ( 46-48 )",7
"652","16393","43",2
"653","16396","M",5
"654","16423","L",1
"655","16423","M",1
"656","16423","XL",3
"657","16436","L ( 42-46 )",1
"658","16436","M ( 38-42 )",1
"659","16462","L",10
"660","16462","M",5
"661","16462","S",5
"662","16462","XL",4
"663","16466","M",2
"664","16473","L",4
"665","16473","M",3
"666","16473","S",1
"667","16473","XL",3
"668","16640","L",1
"669","16640","M",8
"670","16640","S",2
"671","16709","L ( 42-46 )",7
"672","16735","L",6
"673","16735","M",4
"674","16747","158",1
"675","16750","L",7
"676","16750","M",5
"677","16750","S",10
"678","16750","XL",1
"679","16766","1 ( Junior)",2
"680","16766","2 ( Senior )",5
"681","16799","L ( 152-158 )",1
"682","16799","M ( 140-152 )",1
"683","16799","XL ( 158-170 )",3
"684","16804","L",1
"685","16804","M",10
"686","16812","44",1
"687","16818","2XL",3
"688","16818","L",3
"689","16818","S",5
"690","16818","XL",6
"691","16827","L",1
"692","16827","M",4
"693","16848","L",7
"694","16848","M",2
"695","16848","S",4
"696","16848","XL",2
"697","16853","L",7
"698","16853","M",7
"699","16872","4 ( 43-45 )",7
"700","16877","L",1
"701","16877","M",10
"702","16877","S",1
"703","16877","XL",4
"704","16954","44",2
"705","16976","L",3
"706","16976","M",10
"707","16976","S",8
"708","16976","XL",10
"709","16992","M",2
"710","16993","M",3
"711","17050","2XL",5
"712","17050","L",9
"713","17050","M",1
"714","17050","S",6
"715","17050","XL",9
"716","17140","42 2/3",1
"717","17140","43 1/3",1
"718","17140","44 2/3",2
"719","17173","2XL",4
"720","17173","L",1
"721","17173","M",1
"722","17173","S",1
"723","17173","XL",2
"724","17193","L",3
"725","17193","M",1
"726","17195","43 - 46",1
"727","17212","L",1
"728","17212","M",7
"729","17212","S",4
"730","17212","XL",5
"731","17240","L",1
"732","17240","M",1
"733","17240","XL",1
"734","17302","M",1
"735","17346","M",5
"736","17372","L",5
"737","17372","M",7
"738","17373","L",4
"739","17373","M",9
"740","17373","XL",7
"741","17463","140",2
"742","17463","152",1
"743","17463","164",4
"744","17463","176",1
"745","17494","L",1
"746","17494","M",5
"747","17496","L ( 152-158 )",1
"748","17496","XL ( 158-170 )",1
"749","17502","L",3
"750","17502","M",5
"751","17537","L",1
"752","17537","M",2
"753","17588","L",1
"754","17588","M",2
"755","17592","L",4
"756","17592","M",10
"757","17654","S",4
"758","17690","L",2
"759","17690","S",7
"760","17690","XL",5
"761","17711","L",1
"762","17711","M",2
"763","17717","XL ( 158-170 )",1
"764","17720","164",1
"765","17771","L",8
"766","17771","M",6
"767","17771","XL",1
"768","17788","L",5
"769","17788","M",8
"770","17797","L",3
"771","17797","M",1
"772","17858","M",2
"773","17861","42 2/3",5
"774","17861","43 1/3",1
"775","17861","44",1
"776","17861","44 2/3",5
"777","17861","46",2
"778","17884","L",2
"779","17884","M",2
"780","17884","S",7
"781","17884","XL",2
"782","17901","L",2
"783","17901","M",5
"784","17901","XL",4
"785","17907","M",5
"786","17932","L",2
"787","17932","M",9
"788","17932","S",1
"789","17932","XL",1
"790","17933","L",3
"791","17985","L",2
"792","17985","M",8
"793","18015","L",3
"794","18015","M",5
"795","18019","L ( 152-158 )",1
"796","18019","XL ( 158-170 )",4
"797","18060","43 1/3",1
"798","18091","L",4
"799","18091","M",7
"800","18105","2XL",1
"801","18105","L",2
"802","18105","M",7
"803","18105","S",7
"804","18105","XL",9
"805","18143","L",1
"806","18143","M",10
"807","18170","L",4
"808","18170","M",3
"809","18184","L",7
"810","18184","M",2
"811","18184","S",2
"812","18184","XL",5
"813","18195","L",5
"814","18195","M",5
"815","18232","L",7
"816","18232","M",5
"817","18232","S",1
"818","18301","L",2
"819","18308","39 - 42",1
"820","18308","43 - 46",7
"821","18375","L",2
"822","18395","L",1
"823","18395","M",1
"824","18395","S",3
"825","18395","XL",1
"826","18415","L",4
"827","18415","M",2
"828","18415","S",2
"829","18438","M",2
"830","18453","2XL",1
"831","18453","L",1
"832","18453","M",1
"833","18453","S",2
"834","18453","XL",7
"835","18477","176",4
"836","18481","L",2
"837","18542","L",5
"838","18542","M",5
"839","18555","43",2
"840","18555","44",2
"841","18621","L",4
"842","18648","39 - 42",4
"843","18657","L",2
"844","18657","M",7
"845","18657","S",4
"846","18657","XL",3
"847","18695","35 - 38",2
"848","18695","39 - 42",2
"849","18749","M",2
"850","18785","L",1
"851","18785","M",7
"852","18785","S",1
"853","18785","XL",3
"854","18856","L",4
"855","18856","M",2
"856","18867","L ( 152-158 )",5
"857","18867","M ( 140-152 )",5
"858","18867","S ( 128-140 )",5
"859","18969","L",5
"860","18969","M",2
"861","18982","L",1
"862","18982","M",10
"863","18982","S",1
"864","18982","XL",4
"865","19004","L",3
"866","19004","M",2
"867","19004","XL",3
"868","19013","L",2
"869","19018","L",4
"870","19027","L",9
"871","19098","L",2
"872","19098","M",5
"873","19145","L ( 42-46 )",1
"874","19145","M ( 38-42 )",1
"875","19145","S ( 34-38 )",2
"876","19145","XL (46-50 )",2
"877","19145","XS ( 30-34 )",1
"878","19162","L",2
"879","19162","M",2
"880","19168","L",8
"881","19199","L",4
"882","19199","XL",2
"883","19235","L",10
"884","19235","S",2
"885","19235","XL",8
"886","19264","L",5
"887","19264","M",3
"888","19266","L",1
"889","19266","M",9
"890","19266","S",1
"891","19266","XL",4
"892","19266","XS",5
"893","19288","2XL",3
"894","19288","L",5
"895","19288","M",2
"896","19288","S",7
"897","19288","XL",5
"898","19349","S",2
"899","19351","L",5
"900","19351","M",1
"901","19354","L",10
"902","19354","M",7
"903","19354","XL",7
"904","19432","M",5
"905","19505","L",3
"906","19505","M",10
"907","19505","S",2
"908","19506","L ( 152-158 )",4
"909","19506","M ( 140-152 )",1
"910","19506","XL ( 158-170 )",1
"911","19517",NA,4
"912","19588","L",5
"913","19588","M",7
"914","19615","L ( 42-46 )",2
"915","19668","L ( 152-158 )",8
"916","19668","M ( 140-152 )",5
"917","19668","XL ( 158-170 )",1
"918","19678","L",5
"919","19678","M",6
"920","19760","L",2
"921","19760","M",3
"922","19760","S",2
"923","19760","XL",1
"924","19813","L ( 42-46 )",9
"925","19841","L",2
"926","19841","M",3
"927","19851","2XL",2
"928","19851","L",3
"929","19851","M",4
"930","19851","XL",6
"931","19853","L",1
"932","19853","M",5
"933","19882","140",2
"934","19882","152",4
"935","20017","L",8
"936","20017","M",2
"937","20025","L",5
"938","20025","M",2
"939","20025","S",2
"940","20053","M",1
"941","20096","L ( 42-46 )",9
"942","20106","L ( 152-158 )",5
"943","20106","XL ( 158-170 )",8
"944","20111","L",5
"945","20111","M",2
"946","20111","S",3
"947","20111","XL",5
"948","20125","152",2
"949","20125","164",2
"950","20149","L",5
"951","20149","M",2
"952","20149","XL",2
"953","20162","3 ( 40-42 )",5
"954","20162","4 ( 43-45 )",1
"955","20162","5 ( 46-48 )",2
"956","20216","L ( 42-46 )",4
"957","20216","M ( 38-42 )",3
"958","20219","L",2
"959","20219","M",2
"960","20219","S",10
"961","20222","L ( 152-158 )",2
"962","20222","XL ( 158-170 )",2
"963","20223","L",4
"964","20223","M",7
"965","20223","S",9
"966","20223","XL",2
"967","20305","XL ( 158-170 )",1
"968","20359","L",7
"969","20359","M",4
"970","20359","S",5
"971","20392","M",5
"972","20422","152",7
"973","20422","164",2
"974","20456","L ( 42-46 )",6
"975","20456","M ( 38-42 )",1
"976","20463","M",3
"977","20470","M",4
"978","20505","L",4
"979","20505","M",6
"980","20505","S",7
"981","20505","XL",10
"982","20529","M",3
"983","20579","2XL",3
"984","20579","L",1
"985","20579","M",1
"986","20579","S",7
"987","20579","XL",4
"988","20590","L",2
"989","20605","L ( 152-158 )",1
"990","20605","XL ( 158-170 )",5
"991","20683","L",2
"992","20683","M",4
"993","20709","L ( 42-46 )",2
"994","20709","M ( 38-42 )",4
"995","20709","XL (46-50 )",7
"996","20728","4 ( 43-45 )",5
"997","20748","2XL",2
"998","20748","L",2
"999","20748","M",2
"1000","20748","S",3
"1001","20748","XL",2
"1002","20825","M ( 38-42 )",1
"1003","20828","L",2
"1004","20828","M",2
"1005","20828","S",2
"1006","20828","XL",2
"1007","20860","L ( 42-46 )",1
"1008","20860","M ( 38-42 )",5
"1009","20866","L",1
"1010","20866","M",3
"1011","20866","S",8
"1012","20900","L ( 42-46 )",3
"1013","20900","M ( 38-42 )",3
"1014","20909","02 Senior",2
"1015","20970","L",5
"1016","20970","M",4
"1017","20973","5 ( 43-46 )",3
"1018","20981","2 ( 37-39 )",7
"1019","20981","4 ( 43-45 )",1
"1020","20998","L",3
"1021","20998","M",5
"1022","21030","L ( 42-46 )",2
"1023","21068","4 ( 43-45 )",3
"1024","21120","L ( 42-46 )",5
"1025","21120","M ( 38-42 )",3
"1026","21160","128",1
"1027","21160","152",2
"1028","21160","164",5
"1029","21227","L",10
"1030","21227","M",6
"1031","21227","S",3
"1032","21227","XL",5
"1033","21270","L",4
"1034","21270","M",1
"1035","21270","S",2
"1036","21270","XL",10
"1037","21282","L",8
"1038","21282","M",10
"1039","21282","S",1
"1040","21291","L ( 42-46 )",8
"1041","21291","S ( 34-38 )",4
"1042","21337","L",6
"1043","21337","M",3
"1044","21337","S",5
"1045","21372","L",2
"1046","21372","M",3
"1047","21372","XL",3
"1048","21378","4 ( 43-46 )",2
"1049","21387","L",1
"1050","21405","L",2
"1051","21405","M",2
"1052","21405","S",2
"1053","21405","XL",5
"1054","21446","176",5
"1055","21477","L",1
"1056","21477","M",6
"1057","21477","S",4
"1058","21477","XL",1
"1059","21539","L",3
"1060","21539","M",7
"1061","21539","S",5
"1062","21539","XL",4
"1063","21541","L",1
"1064","21541","M",5
"1065","21553","M",2
"1066","21564","L",7
"1067","21564","M",7
"1068","21618","4 ( 43-45 )",7
"1069","21743","L",4
"1070","21799","L",1
"1071","21799","M",5
"1072","21858","L",3
"1073","21858","M",4
"1074","21858","S",7
"1075","21974","L ( 42-46 )",6
"1076","21974","M ( 38-42 )",1
"1077","21980","L",10
"1078","21996","XL ( 158-170 )",5
"1079","22012","L ( 42-46 )",3
"1080","22012","S ( 34-38 )",3
"1081","22021","L",2
"1082","22021","M",3
"1083","22100","35 - 38",2
"1084","22100","39 - 42",6
"1085","22100","43 - 46",7
"1086","22128","4 ( 43-45 )",5
"1087","22144","L ( 42-46 )",4
"1088","22144","M ( 38-42 )",4
"1089","22144","S ( 34-38 )",7
"1090","22144","XL (46-50 )",7
"1091","22151","164",2
"1092","22158","L",5
"1093","22158","M",9
"1094","22158","S",1
"1095","22169","41 1/3",5
"1096","22169","42",10
"1097","22169","42 2/3",6
"1098","22169","43 1/3",7
"1099","22169","44",2
"1100","22169","44 2/3",1
"1101","22169","45 1/3",2
"1102","22186","L",4
"1103","22233","M",4
"1104","22244","L",7
"1105","22244","M",1
"1106","22294","4 ( 43-45 )",1
"1107","22308","L ( 42-46 )",5
"1108","22308","M ( 38-42 )",10
"1109","22317","3 ( 40-42 )",3
"1110","22317","4 ( 43-45 )",2
"1111","22317","5 ( 46-48 )",2
"1112","22338","M",8
"1113","22338","S",1
"1114","22354","42 2/3",1
"1115","22354","43 1/3",1
"1116","22354","44",1
"1117","22354","44 2/3",5
"1118","22354","45 1/3",4
"1119","22354","46",2
"1120","22362","L",1
"1121","22362","M",1
"1122","22362","S",1
"1123","22362","XL",10
"1124","22367","L",2
"1125","22367","M",2
"1126","22420","L",8
"1127","22420","M",5
"1128","22420","XL",2
"1129","22456","L",9
"1130","22456","M",1
"1131","22456","S",7
"1132","22456","XL",1
"1133","22463","L",7
"1134","22463","M",5
"1135","22463","S",7
"1136","22463","XL",5
"1137","22477","M",4
"1138","22523","164",3
"1139","22544","XL ( 158-170 )",2
"1140","22553","L ( 42-46 )",5
"1141","22553","M ( 38-42 )",10
"1142","22614","L ( 152-158 )",1
"1143","22614","M ( 140-152 )",1
"1144","22614","XL ( 158-170 )",10
"1145","22618","L ( 152-158 )",4
"1146","22618","XL ( 158-170 )",1
"1147","22625","L ( 152-158 )",7
"1148","22625","M ( 140-152 )",2
"1149","22676","L",3
"1150","22676","M",2
"1151","22676","S",4
"1152","22676","XL",7
