ps|all|Cluster_5|Cluster_9|remain5|remain9
10866 - 140|4|1|1|0.75|0.75
10866 - 152|6|1|1|0.833333333333333|0.833333333333333
10878 - 2XL|23|1|1|0.956521739130435|0.956521739130435
10878 - L|71|1|1|0.985915492957746|0.985915492957746
10878 - M|72|1|1|0.986111111111111|0.986111111111111
10878 - S|44|1|1|0.977272727272727|0.977272727272727
10878 - XL|42|1|1|0.976190476190476|0.976190476190476
10881 - S|13|1|1|0.923076923076923|0.923076923076923
10881 - XL|10|1|1|0.9|0.9
10885 - 40 2/3|9|1|1|0.888888888888889|0.888888888888889
10885 - 41 1/3|6|1|1|0.833333333333333|0.833333333333333
10885 - 42|6|1|1|0.833333333333333|0.833333333333333
10885 - 42 2/3|10|1|1|0.9|0.9
10885 - 43 1/3|17|1|1|0.941176470588235|0.941176470588235
10885 - 44|11|1|1|0.909090909090909|0.909090909090909
10885 - 44 2/3|13|1|1|0.923076923076923|0.923076923076923
10885 - 45 1/3|16|1|1|0.9375|0.9375
10885 - 46|9|1|1|0.888888888888889|0.888888888888889
10886 - 2XL|17|1|1|0.941176470588235|0.941176470588235
10886 - L|81|1|1|0.987654320987654|0.987654320987654
10886 - M|90|1|1|0.988888888888889|0.988888888888889
10886 - S|46|1|1|0.978260869565217|0.978260869565217
10886 - XL|44|1|1|0.977272727272727|0.977272727272727
10897 - M|6|1|1|0.833333333333333|0.833333333333333
10904 - 41|5|1|1|0.8|0.8
10904 - 42,5|7|1|1|0.857142857142857|0.857142857142857
10904 - 43|9|1|1|0.888888888888889|0.888888888888889
10904 - 44|16|1|1|0.9375|0.9375
10904 - 44,5|20|1|1|0.95|0.95
10904 - 45|13|1|1|0.923076923076923|0.923076923076923
10904 - 45,5|11|1|1|0.909090909090909|0.909090909090909
10912 - 2XL|37|1|1|0.972972972972973|0.972972972972973
10912 - L|77|1|1|0.987012987012987|0.987012987012987
10912 - M|79|1|1|0.987341772151899|0.987341772151899
10912 - S|67|1|1|0.985074626865672|0.985074626865672
10912 - XL|45|1|1|0.977777777777778|0.977777777777778
10924 - M ( 140-152 )|8|1|1|0.875|0.875
10924 - S ( 128-140 )|9|1|1|0.888888888888889|0.888888888888889
10925 - L|17|1|1|0.941176470588235|0.941176470588235
10925 - M|14|1|1|0.928571428571429|0.928571428571429
10925 - S|6|1|1|0.833333333333333|0.833333333333333
10925 - XL|7|1|1|0.857142857142857|0.857142857142857
10927 - 140|5|1|1|0.8|0.8
10936 - 2XL|7|1|1|0.857142857142857|0.857142857142857
10936 - M|27|1|1|0.962962962962963|0.962962962962963
10936 - XL|14|1|1|0.928571428571429|0.928571428571429
10948 - 40,5|5|1|1|0.8|0.8
10948 - 41|5|1|1|0.8|0.8
10948 - 42|6|1|1|0.833333333333333|0.833333333333333
10948 - 42,5|14|1|1|0.928571428571429|0.928571428571429
10948 - 43|17|1|1|0.941176470588235|0.941176470588235
10948 - 44|23|1|1|0.956521739130435|0.956521739130435
10948 - 44,5|19|1|1|0.947368421052632|0.947368421052632
10948 - 45|15|1|1|0.933333333333333|0.933333333333333
10948 - 45,5|7|1|1|0.857142857142857|0.857142857142857
10950 - L|7|1|1|0.857142857142857|0.857142857142857
10950 - M|6|1|1|0.833333333333333|0.833333333333333
10953 - 2XL|14|1|1|0.928571428571429|0.928571428571429
10953 - L|65|1|1|0.984615384615385|0.984615384615385
10953 - XL|31|1|1|0.967741935483871|0.967741935483871
10961 - L|19|1|1|0.947368421052632|0.947368421052632
10966 - 44,5|4|1|1|0.75|0.75
10979 - 35 - 38|11|1|1|0.909090909090909|0.909090909090909
10979 - 39 - 42|13|1|1|0.923076923076923|0.923076923076923
10979 - 43 - 46|12|1|1|0.916666666666667|0.916666666666667
10981 - L|20|3|3|0.85|0.85
10981 - M|17|1|1|0.941176470588235|0.941176470588235
10981 - S|4|1|1|0.75|0.75
10981 - XL|12|1|1|0.916666666666667|0.916666666666667
10990 - L|5|1|1|0.8|0.8
10990 - M|5|1|1|0.8|0.8
10994 - 43|6|1|1|0.833333333333333|0.833333333333333
10994 - 44|7|1|1|0.857142857142857|0.857142857142857
10997 - 40,5|5|1|1|0.8|0.8
10997 - 43|10|1|1|0.9|0.9
10997 - 44,5|7|1|1|0.857142857142857|0.857142857142857
10997 - 45|4|1|1|0.75|0.75
11009 - L|21|1|1|0.952380952380952|0.952380952380952
11009 - M|25|1|1|0.96|0.96
11009 - S|13|1|1|0.923076923076923|0.923076923076923
11009 - XL|10|1|1|0.9|0.9
11025 - 2XL|13|1|1|0.923076923076923|0.923076923076923
11025 - L|83|1|1|0.987951807228916|0.987951807228916
11025 - S|59|1|1|0.983050847457627|0.983050847457627
11025 - XL|61|1|1|0.983606557377049|0.983606557377049
11026 - 43 1/3|7|1|1|0.857142857142857|0.857142857142857
11026 - 44 2/3|7|1|1|0.857142857142857|0.857142857142857
11026 - 45 1/3|4|1|1|0.75|0.75
11034 - 2 ( 35-38 )|10|1|1|0.9|0.9
11034 - 3 ( 39-42 )|25|1|1|0.96|0.96
11034 - 4 ( 43-46 )|46|2|1|0.956521739130435|0.978260869565217
11034 - 5 ( 47-49 )|10|1|1|0.9|0.9
11035 - L|16|1|1|0.9375|0.9375
11035 - M|19|1|1|0.947368421052632|0.947368421052632
11035 - S|4|1|1|0.75|0.75
11035 - XL|13|1|1|0.923076923076923|0.923076923076923
11037 - L|22|1|1|0.954545454545455|0.954545454545455
11037 - M|26|1|1|0.961538461538462|0.961538461538462
11037 - S|11|1|1|0.909090909090909|0.909090909090909
11037 - XL|12|1|1|0.916666666666667|0.916666666666667
11048 - M|16|1|1|0.9375|0.9375
11049 - M ( 38/40 )|11|1|1|0.909090909090909|0.909090909090909
11059 - 41|9|1|1|0.888888888888889|0.888888888888889
11059 - 42|14|1|1|0.928571428571429|0.928571428571429
11059 - 43|21|1|1|0.952380952380952|0.952380952380952
11059 - 44,5|14|1|1|0.928571428571429|0.928571428571429
11059 - 45|12|1|1|0.916666666666667|0.916666666666667
11059 - 45,5|9|1|1|0.888888888888889|0.888888888888889
