date|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.Under.Armour
2017-11-11|52|61|33|36|67|0|48|68|15|2|43
2017-11-12|47|52|64|50|84|10|42|45|13|4|70
2017-11-13|33|54|35|46|54|3|33|43|12|4|35
2017-11-14|33|40|24|45|33|3|32|48|11|2|33
2017-11-15|37|47|32|36|54|6|32|61|15|0|29
2017-11-16|37|46|31|28|38|5|30|45|12|4|37
2017-11-17|35|50|43|33|67|3|34|49|11|0|31
2017-11-18|53|75|55|46|76|11|41|58|25|7|46
2017-11-19|43|53|28|42|42|10|43|61|19|2|39
2017-11-20|36|42|26|36|55|6|42|44|10|4|31
2017-11-21|38|42|36|45|48|3|38|47|23|0|41
2017-11-22|53|42|32|32|40|5|45|57|17|12|47
2017-11-23|54|55|51|49|85|8|60|66|28|6|77
2017-11-24|85|88|86|43|84|8|95|100|40|0|100
2017-11-25|100|87|21|27|97|9|62|73|26|2|72
2017-11-26|65|85|66|42|63|13|49|79|29|4|55
2017-11-27|42|53|39|36|64|4|39|58|20|2|39
2017-11-28|40|49|25|34|50|5|35|50|15|2|38
2017-11-29|34|55|34|41|59|8|35|37|15|0|41
2017-11-30|40|53|22|39|61|11|35|51|13|0|51
2017-12-01|37|39|35|25|53|12|39|47|11|4|32
2017-12-02|49|46|41|38|67|8|45|56|13|2|31
2017-12-03|47|55|49|46|73|5|47|65|17|4|53
2017-12-04|39|52|29|49|66|9|34|44|9|0|22
2017-12-05|38|40|45|40|41|11|34|42|19|8|37
2017-12-06|37|59|30|33|56|11|32|40|12|4|25
2017-12-07|39|32|32|30|48|13|36|53|16|2|34
2017-12-08|36|43|43|34|59|10|36|51|10|6|35
2017-12-09|57|52|48|61|84|7|47|68|22|0|28
2017-12-10|49|48|39|45|68|12|44|49|13|4|72
2017-12-11|36|35|24|47|53|9|36|47|12|0|40
2017-12-12|38|48|29|42|65|3|35|44|18|4|42
2017-12-13|38|35|25|37|60|5|32|47|14|6|19
2017-12-14|38|32|14|31|43|3|30|46|19|4|35
2017-12-15|41|43|32|30|39|12|28|36|16|10|37
2017-12-16|82|49|35|24|70|19|41|51|16|2|42
2017-12-17|47|53|46|39|67|36|39|51|17|2|46
2017-12-18|37|30|30|23|50|12|33|43|17|6|29
2017-12-19|34|33|28|14|60|8|31|41|16|4|30
2017-12-20|29|40|18|16|60|5|31|37|15|0|24
2017-12-21|34|30|22|19|60|7|29|41|11|2|43
2017-12-22|36|41|27|15|43|6|28|45|20|0|39
2017-12-23|33|35|44|14|45|4|32|43|18|3|33
2017-12-24|38|46|24|9|78|2|39|41|18|0|31
2017-12-25|46|59|37|10|70|4|39|59|21|0|38
2017-12-26|46|77|40|10|48|2|41|61|28|2|51
2017-12-27|40|68|27|5|52|7|35|41|29|0|33
2017-12-28|41|82|27|17|52|2|37|62|14|0|38
2017-12-29|39|79|27|25|63|4|36|55|17|0|31
2017-12-30|43|79|43|19|37|0|35|53|29|5|23
2017-12-31|30|53|25|9|64|4|27|45|16|0|19
2018-01-01|34|63|26|15|48|2|31|41|11|2|33
2018-01-02|38|69|42|35|60|6|32|55|16|6|38
2018-01-03|39|54|45|15|54|6|34|50|19|2|36
2018-01-04|35|69|31|27|53|1|37|54|31|0|41
2018-01-05|39|65|46|29|56|3|37|55|17|2|29
2018-01-06|46|88|53|21|43|5|42|51|25|0|48
2018-01-07|40|84|50|24|39|7|39|54|17|4|46
2018-01-08|37|59|41|13|49|4|35|43|18|2|33
2018-01-09|39|51|24|25|47|0|33|49|19|0|28
2018-01-10|41|52|36|20|38|6|31|45|18|9|43
2018-01-11|42|48|50|36|75|1|33|51|17|0|34
2018-01-12|48|74|43|25|46|8|30|60|17|4|42
2018-01-13|57|80|41|10|50|2|42|71|26|4|39
2018-01-14|49|85|54|23|55|11|41|60|21|2|58
2018-01-15|43|58|29|19|41|7|41|41|15|5|34
2018-01-16|47|81|41|35|42|3|35|50|14|2|27
2018-01-17|41|63|33|18|82|4|29|46|14|0|33
2018-01-18|35|68|43|22|46|4|31|46|14|4|25
2018-01-19|38|40|52|27|63|5|40|52|17|2|37
2018-01-20|52|64|51|16|74|3|46|74|24|4|28
2018-01-21|49|70|72|30|49|8|43|69|22|2|46
2018-01-22|35|46|44|23|47|0|35|58|21|0|37
2018-01-23|39|57|30|12|39|9|39|65|24|2|31
2018-01-24|39|51|52|21|39|7|35|50|18|0|26
2018-01-25|40|70|39|21|54|9|38|53|22|0|34
2018-01-26|39|52|51|33|55|3|40|61|16|0|37
2018-01-27|49|95|66|21|51|5|49|83|29|7|37
2018-01-28|52|100|79|30|56|5|45|69|28|4|46
2018-01-29|43|62|49|35|50|3|34|70|15|4|32
2018-01-30|51|48|51|35|61|7|38|64|21|7|44
2018-01-31|48|54|43|37|40|1|36|69|19|5|40
2018-02-01|43|57|28|19|50|4|41|69|20|2|40
2018-02-02|43|63|43|25|29|11|40|54|18|4|40
2018-02-03|47|68|92|17|60|3|47|81|27|0|36
2018-02-04|48|57|51|27|63|2|44|75|23|0|52
2018-02-05|35|66|28|21|60|4|31|40|13|2|47
2018-02-06|35|70|35|38|50|3|31|48|18|2|35
2018-02-07|39|43|43|35|50|6|33|59|17|2|34
2018-02-08|35|53|31|24|55|5|34|50|16|2|45
2018-02-09|38|52|54|24|54|5|37|65|23|4|28
2018-02-10|47|80|65|19|75|5|46|83|28|7|22
2018-02-11|46|82|57|35|67|15|42|66|22|2|43
2018-02-12|34|61|34|24|60|3|32|56|15|4|40
2018-02-13|39|55|53|20|52|6|32|50|24|2|40
2018-02-14|37|71|53|22|60|5|29|51|13|8|36
2018-02-15|37|53|45|18|41|3|32|45|14|6|30
2018-02-16|37|57|43|13|49|10|38|52|15|0|38
2018-02-17|53|71|71|28|66|9|46|63|24|0|39
2018-02-18|52|80|59|21|72|11|47|72|25|0|50
2018-02-19|38|50|65|25|58|3|37|49|21|0|25
2018-02-20|38|52|51|20|54|7|35|55|15|2|22
2018-02-21|40|56|52|23|62|9|39|66|13|4|40
2018-02-22|39|51|44|29|48|3|39|62|28|0|28
2018-02-23|44|57|65|24|59|3|38|66|25|2|18
2018-02-24|48|60|62|32|60|4|45|78|17|7|46
2018-02-25|50|53|65|19|100|5|44|73|26|2|46
2018-02-26|34|47|50|19|61|4|35|51|20|0|35
2018-02-27|40|67|36|22|75|7|35|61|15|4|47
2018-02-28|35|52|44|26|86|5|39|51|15|0|41
