data|trend.11teamsports|trend.Amazon|trend.bonton|trend.coupon|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.UnderArmour
2017/11/18|24|51|28|51|62|67|53|74|61|65|50|63|52|55|43
2017/11/19|25|58|24|69|46|56|43|65|70|21|46|56|45|20|47
2017/11/20|27|68|19|42|39|46|21|77|56|33|46|45|40|35|30
2017/11/21|6|63|29|54|40|42|31|62|55|13|39|43|49|18|43
2017/11/22|18|61|35|54|55|46|33|57|59|27|48|57|48|74|47
2017/11/23|42|68|76|70|58|48|51|48|51|27|69|68|65|46|62
2017/11/24|100|100|100|100|94|70|61|86|82|31|100|95|100|28|100
2017/11/25|35|64|47|88|100|65|31|82|74|31|63|83|72|43|74
2017/11/26|25|65|45|75|66|71|47|83|76|25|60|72|59|0|61
2017/11/27|29|61|40|66|45|55|40|59|72|20|43|52|47|36|55
2017/11/28|20|51|36|45|41|41|34|71|68|30|43|49|32|55|49
2017/11/29|20|52|26|43|39|48|43|51|50|38|40|54|37|19|35
2017/11/30|21|51|22|58|46|37|25|79|55|14|39|52|34|38|41
2017/12/1|26|50|29|56|42|31|22|43|52|15|40|53|26|31|29
2017/12/2|15|55|24|49|51|53|35|74|80|34|51|65|45|35|43
2017/12/3|20|59|29|64|51|59|35|81|70|45|52|73|39|21|63
2017/12/4|35|55|25|58|42|50|27|79|43|43|37|47|25|27|35
2017/12/5|22|53|20|53|41|40|36|53|54|24|39|49|35|46|34
2017/12/6|22|54|31|57|41|50|34|45|50|21|37|41|39|28|40
2017/12/7|18|53|24|44|42|38|27|58|60|42|36|47|44|19|40
2017/12/8|21|53|26|51|41|41|25|61|70|29|41|43|45|49|35
2017/12/9|22|58|34|70|62|55|33|67|98|45|50|59|42|44|37
2017/12/10|34|61|31|57|52|45|35|90|77|36|50|52|28|20|65
2017/12/11|15|56|28|50|41|37|27|54|45|13|39|46|36|35|38
2017/12/12|19|58|22|51|41|34|25|59|53|13|37|41|43|55|39
2017/12/13|10|57|24|54|39|41|19|55|48|30|37|44|33|46|36
2017/12/14|22|58|29|51|42|46|23|56|48|52|36|42|49|19|45
2017/12/15|11|55|30|63|41|47|22|37|70|66|36|49|43|100|36
2017/12/16|7|58|35|63|90|44|26|49|60|82|48|48|38|45|50
2017/12/17|11|59|32|58|48|49|39|65|58|100|46|50|50|30|39
2017/12/18|22|57|20|52|37|41|30|47|55|60|35|49|43|46|36
2017/12/19|12|54|28|41|36|35|26|18|49|17|34|40|39|77|27
2017/12/20|4|49|28|51|35|27|18|29|41|18|33|38|34|0|27
2017/12/21|9|46|28|49|35|27|27|19|56|15|31|39|23|20|39
2017/12/22|17|40|28|42|39|37|20|13|56|8|33|38|44|44|34
2017/12/23|16|37|29|38|37|37|29|13|58|13|34|43|32|49|29
2017/12/24|29|39|28|34|42|38|33|11|80|40|42|44|41|0|27
2017/12/25|13|49|17|54|50|41|33|30|86|0|44|51|56|49|33
2017/12/26|7|48|31|56|49|66|43|25|67|30|44|49|53|23|38
2017/12/27|24|48|23|59|42|66|28|27|65|29|41|55|58|0|35
2017/12/28|9|46|22|57|43|66|32|32|50|22|44|62|48|20|44
2017/12/29|11|45|19|53|47|55|33|34|56|16|40|62|54|22|35
2017/12/30|7|41|25|51|46|68|31|17|49|16|40|52|51|23|35
2017/12/31|22|32|26|30|33|47|26|18|43|47|30|37|42|0|21
2018/1/1|12|38|18|51|39|66|26|28|52|41|33|40|49|46|42
2018/1/2|14|42|16|58|43|61|44|25|41|17|36|55|45|18|45
2018/1/3|15|41|14|44|40|64|38|27|68|16|37|52|44|35|26
2018/1/4|19|42|14|50|41|67|28|35|48|13|39|47|54|18|31
2018/1/5|10|40|18|38|40|65|38|39|56|10|38|51|37|19|32
2018/1/6|13|41|21|59|48|77|47|41|58|19|42|56|46|0|31
2018/1/7|6|41|18|52|45|64|38|44|44|18|42|54|57|58|55
2018/1/8|19|38|12|40|38|60|32|46|72|19|38|40|45|17|33
2018/1/9|12|38|12|41|40|52|30|44|50|13|37|48|49|72|36
2018/1/10|19|41|11|56|44|56|29|29|53|26|37|47|53|53|32
2018/1/11|10|39|15|48|45|43|39|47|44|16|35|59|42|18|37
2018/1/12|8|37|13|54|47|57|44|39|56|24|36|61|49|56|33
2018/1/13|11|42|17|71|56|77|34|38|71|23|47|73|55|20|33
2018/1/14|25|43|14|63|55|75|54|60|52|35|44|62|67|29|51
2018/1/15|13|38|12|50|43|48|33|37|45|22|41|44|37|34|34
2018/1/16|8|38|16|46|50|67|35|46|65|26|37|54|43|18|32
2018/1/17|11|38|10|64|43|56|43|44|62|23|38|52|37|18|45
2018/1/18|13|35|12|42|41|67|46|21|44|28|34|52|34|0|24
2018/1/19|12|36|8|50|42|50|33|33|56|14|42|60|51|19|36
2018/1/20|13|41|13|56|52|76|54|44|63|34|49|88|68|41|39
2018/1/21|12|42|10|61|53|56|51|52|59|10|49|65|63|38|51
2018/1/22|9|37|13|42|35|47|32|27|63|28|38|51|45|26|38
2018/1/23|20|37|11|42|38|56|33|41|65|22|40|53|50|17|29
2018/1/24|12|38|11|48|42|62|53|21|40|19|41|59|45|0|30
2018/1/25|15|37|13|35|42|52|37|38|50|16|40|58|43|36|33
2018/1/26|20|36|19|47|42|39|33|42|45|31|40|69|43|19|32
2018/1/27|23|40|12|42|55|85|57|36|57|12|52|88|58|42|40
2018/1/28|27|42|14|61|60|88|71|74|55|14|50|78|60|19|31
2018/1/29|17|37|10|52|47|51|47|51|43|22|38|61|39|34|35
2018/1/30|17|39|10|59|51|61|51|37|65|13|40|63|49|18|40
2018/1/31|10|39|21|55|47|55|39|27|54|16|41|60|42|18|38
2018/2/1|21|38|18|39|45|49|35|41|66|16|45|62|40|36|45
2018/2/2|26|38|17|40|47|55|37|38|38|24|41|67|63|37|21
2018/2/3|16|41|16|40|54|62|61|49|70|26|52|88|63|31|54
2018/2/4|16|41|14|42|51|59|42|43|42|35|48|66|46|19|54
2018/2/5|4|38|20|47|38|51|27|42|61|13|35|46|41|44|50
2018/2/6|10|38|17|41|38|52|31|42|54|23|36|52|42|27|40
2018/2/7|24|39|22|45|43|47|45|40|53|13|41|56|48|64|37
2018/2/8|18|37|19|46|38|49|36|26|46|17|38|55|30|29|33
2018/2/9|15|35|14|44|41|47|37|32|76|18|39|62|44|58|41
2018/2/10|16|37|17|48|51|60|61|32|87|16|47|76|45|32|44
2018/2/11|34|38|16|48|50|60|62|26|66|22|49|63|43|0|38
2018/2/12|12|35|12|40|40|62|36|32|55|13|37|61|39|27|39
2018/2/13|12|34|8|31|41|53|45|41|56|20|37|48|47|36|28
2018/2/14|8|34|11|34|40|45|46|38|52|23|37|51|22|37|41
2018/2/15|19|34|8|49|39|51|39|32|59|30|36|53|49|36|37
2018/2/16|14|32|9|30|43|70|50|35|49|14|38|60|49|0|49
2018/2/17|23|37|14|57|57|53|61|51|100|42|51|73|60|0|46
2018/2/18|11|38|16|53|54|61|60|61|65|22|51|76|66|30|43
2018/2/19|17|33|13|47|40|48|38|33|51|16|41|59|44|35|34
2018/2/20|11|34|11|43|42|56|40|29|49|26|39|56|40|44|30
2018/2/21|6|34|11|29|43|45|37|41|54|27|42|63|33|27|41
2018/2/22|16|34|11|40|43|56|32|46|45|40|42|68|56|0|35
2018/2/23|16|33|11|39|46|58|54|51|62|10|40|72|44|38|41
2018/2/24|11|36|14|51|57|57|60|30|100|58|52|76|42|63|55
2018/2/25|29|38|19|39|51|61|66|45|79|11|51|70|57|29|47
2018/2/26|24|34|11|54|36|37|44|33|65|22|38|52|42|43|33
2018/2/27|12|37|7|46|42|54|42|42|79|20|40|53|43|36|33
2018/2/28|12|37|11|49|41|53|32|36|83|7|42|56|48|36|33
