pid|size|startdate|wait_time|Rcr
10064|41 1/3|2017-10-10|21|0
10064|41 1/3|2017-11-01|25|0
10064|41 1/3|2017-11-27|65|1
10064|42|2017-10-01|36|0
10064|42|2017-11-07|19|0
10064|42|2017-11-27|20|0
10064|42|2017-12-18|44|1
10064|44|2017-10-01|13|0
10064|44|2017-10-15|40|0
10064|44|2017-11-25|67|0
10064|44 2/3|2017-10-01|16|0
10064|44 2/3|2017-10-18|12|0
10064|44 2/3|2017-10-31|0|0
10064|44 2/3|2017-11-01|13|0
10064|44 2/3|2017-11-15|9|0
10064|44 2/3|2017-11-25|61|0
10064|44 2/3|2018-01-26|5|1
10064|46 2/3|2017-10-01|22|0
10064|46 2/3|2017-10-24|23|0
10064|46 2/3|2017-11-17|7|0
10064|46 2/3|2017-11-25|67|1
10064|48|2017-10-01|46|0
10064|48|2017-11-17|75|1
10065|2 ( 37-39 )|2017-10-01|46|0
10065|2 ( 37-39 )|2017-11-17|24|0
10065|2 ( 37-39 )|2017-12-12|3|0
10065|2 ( 37-39 )|2017-12-16|36|0
10065|2 ( 37-39 )|2018-01-22|9|1
10065|4 ( 43-45 )|2017-10-01|10|0
10065|4 ( 43-45 )|2017-10-12|5|0
10065|4 ( 43-45 )|2017-10-18|19|0
10065|4 ( 43-45 )|2017-11-07|85|1
10069|33|2017-10-01|2|0
10069|33|2017-10-04|49|0
10069|33|2017-11-23|69|1
10069|34|2017-10-01|2|0
10069|34|2017-10-04|3|0
10069|34|2017-10-08|42|0
10069|34|2017-11-20|24|0
10069|34|2017-12-15|47|1
10069|35|2017-10-01|0|0
10069|35|2017-10-02|30|0
10069|35|2017-11-02|24|0
10069|35|2017-11-27|15|0
10069|35|2017-12-13|6|0
10069|35|2017-12-20|21|0
10069|35|2018-01-11|20|0
10069|36|2017-10-01|6|0
10069|36|2017-10-08|88|0
10069|36|2018-01-05|10|0
10069|36|2018-01-16|15|1
10069|37 1/3|2017-10-01|2|0
10069|37 1/3|2017-10-04|1|0
10069|37 1/3|2017-10-06|23|0
10069|37 1/3|2017-10-30|5|0
10069|37 1/3|2017-11-05|28|0
10069|37 1/3|2017-12-04|37|0
10069|37 1/3|2018-01-11|14|0
10069|37 1/3|2018-01-26|5|1
10070|45,5|2017-10-01|118|0
10070|45,5|2018-01-28|3|1
10073|L ( 40/42 )|2017-10-01|29|0
10073|L ( 40/42 )|2017-10-31|11|0
10073|L ( 40/42 )|2017-11-12|24|0
10073|L ( 40/42 )|2017-12-07|10|0
10073|L ( 40/42 )|2017-12-18|15|0
10073|L ( 40/42 )|2018-01-03|3|0
10073|L ( 40/42 )|2018-01-07|9|0
10073|L ( 40/42 )|2018-01-17|4|0
10073|L ( 40/42 )|2018-01-22|9|1
10073|XL ( 44/46 )|2017-10-01|54|0
10073|XL ( 44/46 )|2017-11-25|7|0
10073|XL ( 44/46 )|2017-12-03|31|0
10073|XL ( 44/46 )|2018-01-04|15|0
10073|XL ( 44/46 )|2018-01-20|10|0
10073|XL ( 44/46 )|2018-01-31|0|1
10077|36,5|2017-10-01|100|0
10077|36,5|2018-01-10|21|1
10082|L|2017-10-01|0|0
10082|L|2017-10-02|1|0
10082|L|2017-10-04|12|0
10082|L|2017-10-17|41|0
10082|L|2017-11-28|47|0
10082|L|2018-01-15|16|1
10083|S|2017-10-01|30|0
10083|S|2017-11-01|91|1
10084|L|2017-10-01|1|0
10084|L|2017-10-03|0|0
10084|L|2017-10-04|1|0
10084|L|2017-10-06|2|0
10084|L|2017-10-09|14|0
10084|L|2017-10-24|0|0
10084|L|2017-10-25|7|0
10084|L|2017-11-02|1|0
10084|L|2017-11-04|1|0
10084|L|2017-11-06|5|0
10084|L|2017-11-12|29|0
10084|L|2017-12-12|50|1
10084|M|2017-10-01|24|0
10084|M|2017-10-26|0|0
10084|M|2017-10-27|13|0
10084|M|2017-11-10|1|0
10084|M|2017-11-12|11|0
10084|M|2017-11-24|37|0
10084|M|2018-01-01|14|0
10084|M|2018-01-16|15|1
10084|S|2017-10-01|20|0
10084|S|2017-10-22|8|0
10084|S|2017-10-31|13|0
10084|S|2017-11-14|26|0
10084|S|2017-12-11|6|0
10084|S|2017-12-18|28|0
10084|S|2018-01-16|8|0
10084|S|2018-01-25|6|1
10085|41|2017-10-01|31|0
10085|41|2017-11-02|18|0
10085|41|2017-11-21|20|0
10085|41|2017-12-12|50|1
10085|42|2017-10-01|23|0
10085|42|2017-10-25|6|0
10085|42|2017-11-01|7|0
10085|42|2017-11-09|11|0
10085|42|2017-11-21|49|0
10085|42|2018-01-10|21|1
10085|44|2017-10-01|39|0
10085|44|2017-11-10|15|0
10085|44|2017-11-26|9|0
10085|44|2017-12-06|22|0
10085|44|2017-12-29|33|1
10085|45,5|2017-10-01|30|0
10085|45,5|2017-11-01|91|1
10093|L ( 152-158 )|2017-10-01|38|0
10093|L ( 152-158 )|2017-11-09|7|0
10093|L ( 152-158 )|2017-11-17|18|0
10093|L ( 152-158 )|2017-12-06|26|0
10093|L ( 152-158 )|2018-01-02|3|0
10093|L ( 152-158 )|2018-01-06|17|0
10093|L ( 152-158 )|2018-01-24|7|0
10094|45,5|2017-10-01|110|0
10094|45,5|2018-01-20|11|1
10096|L|2017-10-01|118|0
10096|L|2018-01-28|3|1
10096|M|2017-10-01|118|0
10096|M|2018-01-28|3|1
10096|XL|2017-10-01|118|0
10096|XL|2018-01-28|3|1
10098|37,5|2017-10-01|31|0
10098|37,5|2017-11-02|27|0
10098|37,5|2017-11-30|62|1
10098|38|2017-10-01|31|0
10098|38|2017-11-02|29|0
10098|38|2017-12-02|60|1
10098|39|2017-10-01|122|1
10102|2XL|2017-10-01|109|0
10102|2XL|2018-01-19|12|1
10102|XL|2017-10-01|59|0
10102|XL|2017-11-30|29|0
10102|XL|2017-12-30|26|0
10102|XL|2018-01-26|5|1
10103|L|2017-10-01|62|0
10103|L|2017-12-03|26|0
10103|L|2017-12-30|32|1
10104|7 ( L )|2017-10-01|108|0
10104|7 ( L )|2018-01-18|13|1
10105|L ( 40/42 )|2017-10-01|3|0
10105|L ( 40/42 )|2017-10-05|118|1
10108|43|2017-10-01|2|0
10108|43|2017-10-04|65|0
10108|43|2017-12-09|53|1
10108|45,5|2017-10-01|16|0
10108|45,5|2017-10-18|105|1
10111|XL|2017-10-01|54|0
10111|XL|2017-11-25|35|0
10111|XL|2017-12-31|12|0
10111|XL|2018-01-13|18|1
10115|43 1/3|2017-11-22|70|1
10115|44|2017-11-22|53|0
10115|44|2018-01-15|16|1
10116|L|2017-10-01|25|0
10116|L|2017-10-27|3|0
10116|L|2017-10-31|27|0
10116|L|2017-11-28|12|0
10116|L|2017-12-11|51|1
10116|M|2017-10-01|63|0
10116|M|2017-12-04|5|0
10116|M|2017-12-10|31|0
10116|M|2018-01-11|19|0
10116|M|2018-01-31|0|1
10116|XL|2017-10-01|65|0
10116|XL|2017-12-06|56|1
10119|39 1/3|2017-10-01|16|0
10119|39 1/3|2017-10-18|13|0
10119|39 1/3|2017-11-01|0|0
10119|39 1/3|2017-11-02|22|0
10119|39 1/3|2017-11-25|49|0
10119|39 1/3|2018-01-14|17|1
10119|40|2017-10-01|4|0
10119|40|2017-10-06|11|0
10119|40|2017-10-18|0|0
10119|40|2017-10-19|4|0
10119|40|2017-10-24|83|0
10119|40|2018-01-16|15|1
10119|40 2/3|2017-10-01|16|0
10119|40 2/3|2017-10-18|0|0
10119|40 2/3|2017-10-19|23|0
10119|40 2/3|2017-11-12|13|0
10119|40 2/3|2017-11-26|40|0
10119|40 2/3|2018-01-06|11|0
10119|40 2/3|2018-01-18|13|1
10119|41 1/3|2017-10-01|16|0
10119|41 1/3|2017-10-18|20|0
10119|41 1/3|2017-11-08|8|0
10119|41 1/3|2017-11-17|75|1
10119|44|2017-10-01|16|0
10119|44|2017-10-18|0|0
10119|44|2017-10-19|0|0
10119|44|2017-10-20|4|0
10119|44|2017-10-25|7|0
10119|44|2017-11-02|22|0
10119|44|2017-11-25|17|0
10119|44|2017-12-13|43|0
10119|44|2018-01-26|5|1
10119|44 2/3|2017-10-01|10|0
10119|44 2/3|2017-10-12|5|0
10119|44 2/3|2017-10-18|0|0
10119|44 2/3|2017-10-19|16|0
10119|44 2/3|2017-11-05|19|0
10119|44 2/3|2017-11-25|28|0
10119|44 2/3|2017-12-24|33|0
10119|44 2/3|2018-01-27|4|1
10119|45 1/3|2017-10-01|16|0
10119|45 1/3|2017-10-18|6|0
10119|45 1/3|2017-10-25|7|0
10119|45 1/3|2017-11-02|22|0
10119|45 1/3|2017-11-25|65|0
10119|45 1/3|2018-01-30|1|1
10119|46|2017-10-01|1|0
10119|46|2017-10-03|2|0
10119|46|2017-10-06|0|0
10119|46|2017-10-07|0|0
10119|46|2017-10-08|2|0
10119|46|2017-10-11|6|0
10119|46|2017-10-18|8|0
10119|46|2017-10-27|6|0
10119|46|2017-11-03|3|0
10119|46|2017-11-07|17|0
10119|46|2017-11-25|66|0
10119|46|2018-01-31|0|0
10119|46 2/3|2017-10-01|16|0
10119|46 2/3|2017-10-18|5|0
10119|46 2/3|2017-10-24|13|0
10119|46 2/3|2017-11-07|82|0
10119|46 2/3|2018-01-29|2|1
10125|L|2017-10-01|0|0
10125|L|2017-10-02|6|0
10125|L|2017-10-09|1|0
10125|L|2017-10-11|1|0
10125|L|2017-10-13|3|0
10125|L|2017-10-17|2|0
10125|L|2017-10-20|0|0
10125|L|2017-10-21|0|0
10125|L|2017-10-22|0|0
10125|L|2017-10-23|0|0
10125|L|2017-10-24|1|0
10125|L|2017-10-26|4|0
10125|L|2017-10-31|0|0
10125|L|2017-11-01|0|0
10125|L|2017-11-02|3|0
10125|L|2017-11-06|0|0
10125|L|2017-11-07|3|0
10125|L|2017-11-11|0|0
10125|L|2017-11-12|3|0
10125|L|2017-11-16|6|0
10125|L|2017-11-23|1|0
10125|L|2017-11-25|3|0
10125|L|2017-11-29|0|0
10125|L|2017-11-30|0|0
10125|L|2017-12-01|4|0
10125|L|2017-12-06|1|0
10125|L|2017-12-08|0|0
10125|L|2017-12-09|1|0
10125|L|2017-12-11|0|0
10125|L|2017-12-12|0|0
10125|L|2017-12-13|2|0
10125|L|2017-12-16|6|0
10125|L|2017-12-23|1|0
10125|L|2017-12-25|3|0
10125|L|2017-12-29|1|0
10125|L|2017-12-31|3|0
10125|L|2018-01-04|1|0
10125|L|2018-01-06|0|0
10125|L|2018-01-07|0|0
10125|L|2018-01-08|0|0
10125|L|2018-01-09|1|0
10125|L|2018-01-11|0|0
10125|L|2018-01-12|2|0
10125|L|2018-01-15|2|0
10125|L|2018-01-18|3|0
10125|L|2018-01-22|0|0
10125|L|2018-01-23|8|1
10125|M|2017-10-01|7|0
10125|M|2017-10-09|1|0
10125|M|2017-10-11|1|0
10125|M|2017-10-13|13|0
10125|M|2017-10-27|7|0
10125|M|2017-11-04|2|0
10125|M|2017-11-07|16|0
10125|M|2017-11-24|0|0
10125|M|2017-11-25|0|0
10125|M|2017-11-26|0|0
10125|M|2017-11-27|0|0
10125|M|2017-11-28|2|0
10125|M|2017-12-01|3|0
10125|M|2017-12-05|3|0
10125|M|2017-12-09|1|0
10125|M|2017-12-11|2|0
10125|M|2017-12-14|6|0
10125|M|2017-12-21|9|0
10125|M|2017-12-31|9|0
10125|M|2018-01-10|0|0
10125|M|2018-01-11|5|0
10125|M|2018-01-17|0|0
10125|M|2018-01-18|10|0
10125|M|2018-01-29|2|1
10125|S|2017-10-01|26|0
10125|S|2017-10-28|29|0
10125|S|2017-11-27|13|0
10125|S|2017-12-11|37|0
10125|S|2018-01-18|13|1
10125|XL|2017-10-01|2|0
10125|XL|2017-10-04|16|0
10125|XL|2017-10-21|10|0
10125|XL|2017-11-01|2|0
10125|XL|2017-11-04|1|0
10125|XL|2017-11-06|0|0
10125|XL|2017-11-07|3|0
10125|XL|2017-11-11|3|0
10125|XL|2017-11-15|0|0
10125|XL|2017-11-16|0|0
10125|XL|2017-11-17|7|0
10125|XL|2017-11-25|0|0
10125|XL|2017-11-26|4|0
10125|XL|2017-12-01|2|0
10125|XL|2017-12-04|1|0
10125|XL|2017-12-06|1|0
10125|XL|2017-12-08|0|0
10125|XL|2017-12-09|1|0
10125|XL|2017-12-11|0|0
10125|XL|2017-12-12|1|0
10125|XL|2017-12-14|8|0
10125|XL|2017-12-23|8|0
10125|XL|2018-01-01|6|0
10125|XL|2018-01-08|2|0
10125|XL|2018-01-11|0|0
10125|XL|2018-01-12|13|0
10125|XL|2018-01-26|5|1
10126|40,5|2017-10-01|41|0
10126|40,5|2017-11-12|48|0
10126|40,5|2017-12-31|31|1
10126|42|2017-10-01|4|0
10126|42|2017-10-06|52|0
10126|42|2017-11-28|35|0
10126|42|2018-01-03|6|0
10126|42|2018-01-10|21|1
10126|44|2017-10-01|4|0
10126|44|2017-10-06|0|0
10126|44|2017-10-07|39|0
10126|44|2017-11-16|8|0
10126|44|2017-11-25|0|0
10126|44|2017-11-26|1|0
10126|44|2017-11-28|54|0
10126|44|2018-01-22|9|1
10126|44,5|2017-10-01|54|0
10126|44,5|2017-11-25|3|0
10126|44,5|2017-11-29|8|0
10126|44,5|2017-12-08|54|1
10131|152|2017-10-01|8|0
10131|152|2017-10-10|6|0
10131|152|2017-10-17|12|0
10131|152|2017-10-30|11|0
10131|152|2017-11-11|1|0
10131|152|2017-11-13|7|0
10131|152|2017-11-21|4|0
10131|152|2017-11-26|33|0
10131|152|2017-12-30|16|0
10131|152|2018-01-16|4|0
10131|152|2018-01-21|10|1
10131|164|2017-10-01|0|0
10131|164|2017-10-02|1|0
10131|164|2017-10-04|28|0
10131|164|2017-11-02|46|0
10131|164|2017-12-19|9|0
10131|164|2017-12-29|16|0
10131|164|2018-01-15|9|0
10131|164|2018-01-25|6|1
10133|44|2017-10-01|8|0
10133|44|2017-10-10|37|0
10133|44|2017-11-17|75|1
10133|44,5|2017-10-01|121|0
10133|44,5|2018-01-31|0|1
10133|45,5|2017-10-01|43|0
10133|45,5|2017-11-14|32|0
10133|45,5|2017-12-17|13|0
10133|45,5|2017-12-31|31|1
10134|33|2017-11-15|76|0
10134|33|2018-01-31|0|1
10135|L ( 40/42 )|2017-10-01|30|0
10135|L ( 40/42 )|2017-11-01|13|0
10135|L ( 40/42 )|2017-11-15|77|1
10137|37 1/3|2017-10-01|35|0
10137|37 1/3|2017-11-06|86|1
10137|38|2017-10-01|0|0
10137|38|2017-10-02|2|0
10137|38|2017-10-05|30|0
10137|38|2017-11-05|21|0
10137|38|2017-11-27|65|1
10141|XL ( 44/46 )|2017-11-21|55|0
10141|XL ( 44/46 )|2018-01-16|15|1
10144|43|2017-10-01|102|0
10144|43|2018-01-12|19|1
10144|44|2017-10-01|58|0
10144|44|2017-11-29|30|0
10144|44|2017-12-30|4|0
10144|44|2018-01-04|19|0
10144|44|2018-01-24|7|1
10146|M|2017-10-10|21|0
10146|M|2017-11-01|25|0
10146|M|2017-11-27|16|0
10146|M|2017-12-14|48|1
10153|L|2017-10-01|26|0
10153|L|2017-10-28|4|0
10153|L|2017-11-02|41|0
10153|L|2017-12-14|0|0
10153|L|2017-12-15|47|1
10154|S|2017-10-01|37|0
10154|S|2017-11-08|62|0
10154|S|2018-01-10|21|1
10157|L|2017-10-01|21|0
10157|L|2017-10-23|13|0
10157|L|2017-11-06|4|0
10157|L|2017-11-11|10|0
10157|L|2017-11-22|2|0
10157|L|2017-11-25|4|0
10157|L|2017-11-30|1|0
10157|L|2017-12-02|1|0
10157|L|2017-12-04|3|0
10157|L|2017-12-08|54|0
10157|M|2017-10-01|3|0
10157|M|2017-10-05|7|0
10157|M|2017-10-13|2|0
10157|M|2017-10-16|1|0
10157|M|2017-10-18|4|0
10157|M|2017-10-23|2|0
10157|M|2017-10-26|5|0
10157|M|2017-11-01|0|0
10157|M|2017-11-02|6|0
10157|M|2017-11-09|1|0
10157|M|2017-11-11|10|0
10157|M|2017-11-22|2|0
10157|M|2017-11-25|2|0
10157|M|2017-11-28|3|0
10157|M|2017-12-02|1|0
10157|M|2017-12-04|2|0
10157|M|2017-12-07|25|0
10157|M|2018-01-02|5|0
10157|M|2018-01-08|7|0
10157|M|2018-01-16|0|0
10157|M|2018-01-17|11|0
10157|M|2018-01-29|1|0
10157|M|2018-01-31|0|1
10158|L|2017-10-01|8|0
10158|L|2017-10-10|6|0
10158|L|2017-10-17|12|0
10158|L|2017-10-30|24|0
10158|L|2017-11-24|12|0
10158|L|2017-12-07|0|0
10158|L|2017-12-08|20|0
10158|L|2017-12-29|21|0
10158|L|2018-01-20|2|0
10158|L|2018-01-23|1|0
10158|L|2018-01-25|5|0
10158|L|2018-01-31|0|0
10158|M|2017-10-01|9|0
10158|M|2017-10-11|5|0
10158|M|2017-10-17|11|0
10158|M|2017-10-29|26|0
10158|M|2017-11-25|8|0
10158|M|2017-12-04|3|0
10158|M|2017-12-08|5|0
10158|M|2017-12-14|20|0
10158|M|2018-01-04|2|0
10158|M|2018-01-07|15|0
10158|M|2018-01-23|7|0
10158|M|2018-01-31|0|0
10158|XL|2017-10-01|15|0
10158|XL|2017-10-17|2|0
10158|XL|2017-10-20|7|0
10158|XL|2017-10-28|1|0
10158|XL|2017-10-30|8|0
10158|XL|2017-11-08|16|0
10158|XL|2017-11-25|12|0
10158|XL|2017-12-08|0|0
10158|XL|2017-12-09|6|0
10158|XL|2017-12-16|19|0
10158|XL|2018-01-05|17|0
10158|XL|2018-01-23|1|0
10158|XL|2018-01-25|6|1
10160|M|2017-10-01|40|0
10160|M|2017-11-11|13|0
10160|M|2017-11-25|53|0
10160|M|2018-01-18|12|0
10160|M|2018-01-31|0|1
10164|L ( 152-158 )|2017-10-01|7|0
10164|L ( 152-158 )|2017-10-09|6|0
10164|L ( 152-158 )|2017-10-16|3|0
10164|L ( 152-158 )|2017-10-20|4|0
10164|L ( 152-158 )|2017-10-25|4|0
10164|L ( 152-158 )|2017-10-30|0|0
10164|L ( 152-158 )|2017-10-31|4|0
10164|L ( 152-158 )|2017-11-05|7|0
10164|L ( 152-158 )|2017-11-13|5|0
10164|L ( 152-158 )|2017-11-19|4|0
10164|L ( 152-158 )|2017-11-24|0|0
10164|L ( 152-158 )|2017-11-25|0|0
10164|L ( 152-158 )|2017-11-26|1|0
10164|L ( 152-158 )|2017-11-28|0|0
10164|L ( 152-158 )|2017-11-29|4|0
10164|L ( 152-158 )|2017-12-04|2|0
10164|L ( 152-158 )|2017-12-07|3|0
10164|L ( 152-158 )|2017-12-11|2|0
10164|L ( 152-158 )|2017-12-14|22|0
10164|L ( 152-158 )|2018-01-06|4|0
10164|L ( 152-158 )|2018-01-11|7|0
10164|L ( 152-158 )|2018-01-19|1|0
10164|L ( 152-158 )|2018-01-21|10|1
10164|M ( 140-152 )|2017-10-01|23|0
10164|M ( 140-152 )|2017-10-25|5|0
10164|M ( 140-152 )|2017-10-31|4|0
10164|M ( 140-152 )|2017-11-05|10|0
10164|M ( 140-152 )|2017-11-16|7|0
10164|M ( 140-152 )|2017-11-24|5|0
10164|M ( 140-152 )|2017-11-30|3|0
10164|M ( 140-152 )|2017-12-04|2|0
10164|M ( 140-152 )|2017-12-07|6|0
10164|M ( 140-152 )|2017-12-14|19|0
10164|M ( 140-152 )|2018-01-03|2|0
10164|M ( 140-152 )|2018-01-06|5|0
10164|M ( 140-152 )|2018-01-12|17|0
10164|M ( 140-152 )|2018-01-30|1|1
10164|S ( 128-140 )|2017-10-01|50|0
10164|S ( 128-140 )|2017-11-21|19|0
10164|S ( 128-140 )|2017-12-11|51|1
10164|XL ( 158-170 )|2017-10-01|4|0
10164|XL ( 158-170 )|2017-10-06|3|0
10164|XL ( 158-170 )|2017-10-10|21|0
10164|XL ( 158-170 )|2017-11-01|9|0
10164|XL ( 158-170 )|2017-11-11|1|0
10164|XL ( 158-170 )|2017-11-13|16|0
10164|XL ( 158-170 )|2017-11-30|1|0
10164|XL ( 158-170 )|2017-12-02|9|0
10164|XL ( 158-170 )|2017-12-12|3|0
10164|XL ( 158-170 )|2017-12-16|1|0
10164|XL ( 158-170 )|2017-12-18|1|0
10164|XL ( 158-170 )|2017-12-20|8|0
10164|XL ( 158-170 )|2017-12-29|17|0
10164|XL ( 158-170 )|2018-01-16|2|0
10164|XL ( 158-170 )|2018-01-19|8|0
10164|XL ( 158-170 )|2018-01-28|1|0
10164|XL ( 158-170 )|2018-01-30|1|1
10164|XS ( 116-128 )|2017-10-01|6|0
10164|XS ( 116-128 )|2017-10-08|16|0
10164|XS ( 116-128 )|2017-10-25|11|0
10164|XS ( 116-128 )|2017-11-06|57|0
10164|XS ( 116-128 )|2018-01-03|28|1
10165|36|2017-10-01|38|0
10165|36|2017-11-09|82|0
10165|36|2018-01-31|0|1
10167|M|2017-10-01|1|0
10167|M|2017-10-03|0|0
10167|M|2017-10-04|7|0
10167|M|2017-10-12|1|0
10167|M|2017-10-14|4|0
10167|M|2017-10-19|2|0
10167|M|2017-10-22|0|0
10167|M|2017-10-23|2|0
10167|M|2017-10-26|0|0
10167|M|2017-10-27|4|0
10167|M|2017-11-01|0|0
10167|M|2017-11-02|1|0
10167|M|2017-11-04|2|0
10167|M|2017-11-07|3|0
10167|M|2017-11-11|0|0
10167|M|2017-11-12|2|0
10167|M|2017-11-15|0|0
10167|M|2017-11-16|11|0
10167|M|2017-11-28|2|0
